Technology name; Technology model (Tec_type)
CO2_Compressor; CONV1
DAC_Adsorption; DAC_Adsorption
Boiler_El; CONV2
Boiler_Industrial_NG; CONV2
Boiler_Small_H2; CONV2
Boiler_Small_NG; CONV2
Furnace_H2; CONV2
Furnace_NG; CONV2
HeatPump_AirSourced; HeatPump_AirSourced
HeatPump_GroundSourced; HeatPump_GroundSourced
HeatPump_SeaWaterSourced; HeatPump_WaterSourced
HeatPump_WaterSourced; HeatPump_WaterSourced
Electrolyzer; CONV1
FuelCell; CONV2
Storage_H2_highP; STOR
Storage_H2_lowP; STOR
Hydro_Reservoir; Hydro_Open
PumpedHydro_Closed; STOR
PumpedHydro_Open; HydroOpen
CrackerFurnace; CONV3
CrackerFurnace_Electric; CONV3
EthyleneCompression; CONV3
EthyleneCompression_Electric; CONV3
EthyleneSeparation; CONV3
SteamReformer; CONV2
SteamReformer_CCS; CONV2
CombinedCycle_fixed_size; CCPP
GasTurbine_H2_10; GasTurbine_H2_10
GasTurbine_H2_100; GasTurbine_H2_100
GasTurbine_H2_250; GasTurbine_H2_250
GasTurbine_H2_400; GasTurbine_H2_400
GasTurbine_NG_10; GasTurbine_NG_10
GasTurbine_NG_100; GasTurbine_NG_100
GasTurbine_NG_250; GasTurbine_NG_250
GasTurbine_NG_400; GasTurbine_NG_400
GasTurbine_simple; CONV1
GasTurbine_simple_CCS; CONV1
SteamTurbine; CONV2
Photovoltaic; RES
SolarThermal; RES
WindTurbine_Offshore_11000; RES
WindTurbine_Offshore_6000; RES
WindTurbine_Offshore_9500; RES
WindTurbine_Onshore_1500; RES
WindTurbine_Onshore_2500; RES
WindTurbine_Onshore_4000; RES
PermanentStorage_CO2_simple; SINK
Storage_Battery; STOR
Storage_Ethylene; STOR
Storage_H2; STOR
Storage_H2_Cavern; STOR
Storage_HotWater; STOR
Storage_NG; STOR
Storage_PCM; STOR
TemporaryStorage_CO2; STOR
