MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|GR
01/01/2023 00:00:00 - 01/01/2023 01:00:00,230.9,EUR,
01/01/2023 01:00:00 - 01/01/2023 02:00:00,268.19,EUR,
01/01/2023 02:00:00 - 01/01/2023 03:00:00,229.58,EUR,
01/01/2023 03:00:00 - 01/01/2023 04:00:00,235.98,EUR,
01/01/2023 04:00:00 - 01/01/2023 05:00:00,234.28,EUR,
01/01/2023 05:00:00 - 01/01/2023 06:00:00,237.63,EUR,
01/01/2023 06:00:00 - 01/01/2023 07:00:00,239.66,EUR,
01/01/2023 07:00:00 - 01/01/2023 08:00:00,231.88,EUR,
01/01/2023 08:00:00 - 01/01/2023 09:00:00,186.47,EUR,
01/01/2023 09:00:00 - 01/01/2023 10:00:00,186.47,EUR,
01/01/2023 10:00:00 - 01/01/2023 11:00:00,177.25,EUR,
01/01/2023 11:00:00 - 01/01/2023 12:00:00,168.5,EUR,
01/01/2023 12:00:00 - 01/01/2023 13:00:00,84.9,EUR,
01/01/2023 13:00:00 - 01/01/2023 14:00:00,81.95,EUR,
01/01/2023 14:00:00 - 01/01/2023 15:00:00,179.73,EUR,
01/01/2023 15:00:00 - 01/01/2023 16:00:00,295.0,EUR,
01/01/2023 16:00:00 - 01/01/2023 17:00:00,348.15,EUR,
01/01/2023 17:00:00 - 01/01/2023 18:00:00,322.34,EUR,
01/01/2023 18:00:00 - 01/01/2023 19:00:00,301.65,EUR,
01/01/2023 19:00:00 - 01/01/2023 20:00:00,353.15,EUR,
01/01/2023 20:00:00 - 01/01/2023 21:00:00,363.15,EUR,
01/01/2023 21:00:00 - 01/01/2023 22:00:00,283.56,EUR,
01/01/2023 22:00:00 - 01/01/2023 23:00:00,237.97,EUR,
01/01/2023 23:00:00 - 02/01/2023 00:00:00,230.59,EUR,
02/01/2023 00:00:00 - 02/01/2023 01:00:00,187.27,EUR,
02/01/2023 01:00:00 - 02/01/2023 02:00:00,187.2,EUR,
02/01/2023 02:00:00 - 02/01/2023 03:00:00,180.0,EUR,
02/01/2023 03:00:00 - 02/01/2023 04:00:00,180.0,EUR,
02/01/2023 04:00:00 - 02/01/2023 05:00:00,185.89,EUR,
02/01/2023 05:00:00 - 02/01/2023 06:00:00,271.87,EUR,
02/01/2023 06:00:00 - 02/01/2023 07:00:00,348.77,EUR,
02/01/2023 07:00:00 - 02/01/2023 08:00:00,353.77,EUR,
02/01/2023 08:00:00 - 02/01/2023 09:00:00,231.0,EUR,
02/01/2023 09:00:00 - 02/01/2023 10:00:00,203.99,EUR,
02/01/2023 10:00:00 - 02/01/2023 11:00:00,196.23,EUR,
02/01/2023 11:00:00 - 02/01/2023 12:00:00,188.89,EUR,
02/01/2023 12:00:00 - 02/01/2023 13:00:00,187.91,EUR,
02/01/2023 13:00:00 - 02/01/2023 14:00:00,188.89,EUR,
02/01/2023 14:00:00 - 02/01/2023 15:00:00,203.7,EUR,
02/01/2023 15:00:00 - 02/01/2023 16:00:00,363.77,EUR,
02/01/2023 16:00:00 - 02/01/2023 17:00:00,348.77,EUR,
02/01/2023 17:00:00 - 02/01/2023 18:00:00,363.77,EUR,
02/01/2023 18:00:00 - 02/01/2023 19:00:00,301.24,EUR,
02/01/2023 19:00:00 - 02/01/2023 20:00:00,353.77,EUR,
02/01/2023 20:00:00 - 02/01/2023 21:00:00,358.77,EUR,
02/01/2023 21:00:00 - 02/01/2023 22:00:00,284.53,EUR,
02/01/2023 22:00:00 - 02/01/2023 23:00:00,268.66,EUR,
02/01/2023 23:00:00 - 03/01/2023 00:00:00,262.99,EUR,
03/01/2023 00:00:00 - 03/01/2023 01:00:00,349.17,EUR,
03/01/2023 01:00:00 - 03/01/2023 02:00:00,274.1,EUR,
03/01/2023 02:00:00 - 03/01/2023 03:00:00,271.25,EUR,
03/01/2023 03:00:00 - 03/01/2023 04:00:00,172.78,EUR,
03/01/2023 04:00:00 - 03/01/2023 05:00:00,272.85,EUR,
03/01/2023 05:00:00 - 03/01/2023 06:00:00,354.17,EUR,
03/01/2023 06:00:00 - 03/01/2023 07:00:00,359.17,EUR,
03/01/2023 07:00:00 - 03/01/2023 08:00:00,349.17,EUR,
03/01/2023 08:00:00 - 03/01/2023 09:00:00,269.99,EUR,
03/01/2023 09:00:00 - 03/01/2023 10:00:00,198.49,EUR,
03/01/2023 10:00:00 - 03/01/2023 11:00:00,191.58,EUR,
03/01/2023 11:00:00 - 03/01/2023 12:00:00,180.2,EUR,
03/01/2023 12:00:00 - 03/01/2023 13:00:00,175.0,EUR,
03/01/2023 13:00:00 - 03/01/2023 14:00:00,174.76,EUR,
03/01/2023 14:00:00 - 03/01/2023 15:00:00,180.2,EUR,
03/01/2023 15:00:00 - 03/01/2023 16:00:00,269.97,EUR,
03/01/2023 16:00:00 - 03/01/2023 17:00:00,354.17,EUR,
03/01/2023 17:00:00 - 03/01/2023 18:00:00,369.17,EUR,
03/01/2023 18:00:00 - 03/01/2023 19:00:00,344.5,EUR,
03/01/2023 19:00:00 - 03/01/2023 20:00:00,349.17,EUR,
