GRID_OID,PLAIN,HILL,MOUNTAIN,PLAIN_M,HILL_M,MOUNTAIN_M,TOTAL_M
334,2,8,0,0.2,0.8,0.0,1
370,3,0,0,1.0,0.0,0.0,1
578,1,3,0,0.25,0.75,0.0,1
579,2,2,0,0.5,0.5,0.0,1
581,1,0,0,1.0,0.0,0.0,1
582,2,1,0,0.666666667,0.333333333,0.0,1
583,2,1,0,0.666666667,0.333333333,0.0,1
609,1,0,0,1.0,0.0,0.0,1
807,0,11,0,0.0,1.0,0.0,1
808,1,19,0,0.05,0.95,0.0,1
809,3,18,0,0.142857143,0.857142857,0.0,1
810,0,20,0,0.0,1.0,0.0,1
811,0,20,0,0.0,1.0,0.0,1
812,0,20,0,0.0,1.0,0.0,1
813,0,9,11,0.0,0.45,0.55,1
814,3,6,10,0.157894737,0.315789474,0.526315789,1
815,2,8,9,0.105263158,0.421052632,0.473684211,1
816,0,12,1,0.0,0.923076923,0.076923077,1
817,1,6,7,0.071428571,0.428571429,0.5,1
818,2,6,2,0.2,0.6,0.2,1
1036,2,7,0,0.222222222,0.777777778,0.0,1
1037,0,21,0,0.0,1.0,0.0,1
1038,2,19,0,0.095238095,0.904761905,0.0,1
1039,3,18,0,0.142857143,0.857142857,0.0,1
1040,7,13,0,0.35,0.65,0.0,1
1041,8,12,0,0.4,0.6,0.0,1
1042,14,4,2,0.7,0.2,0.1,1
1043,9,6,7,0.409090909,0.272727273,0.318181818,1
1044,4,8,8,0.2,0.4,0.4,1
1045,4,10,6,0.2,0.5,0.3,1
1046,2,8,10,0.1,0.4,0.5,1
1047,0,14,6,0.0,0.7,0.3,1
1048,3,18,0,0.142857143,0.857142857,0.0,1
1049,4,14,1,0.210526316,0.736842105,0.052631579,1
1050,4,9,1,0.285714286,0.642857143,0.071428571,1
1051,4,13,0,0.235294118,0.764705882,0.0,1
1052,2,13,2,0.117647059,0.764705882,0.117647059,1
1053,4,12,3,0.210526316,0.631578947,0.157894737,1
1054,4,12,0,0.25,0.75,0.0,1
1055,4,5,0,0.444444444,0.555555556,0.0,1
1056,6,3,0,0.666666667,0.333333333,0.0,1
1057,6,1,0,0.857142857,0.142857143,0.0,1
1058,9,0,0,1.0,0.0,0.0,1
1059,8,4,0,0.666666667,0.333333333,0.0,1
1060,4,3,0,0.571428571,0.428571429,0.0,1
1066,2,8,0,0.2,0.8,0.0,1
1067,3,6,0,0.333333333,0.666666667,0.0,1
1265,8,1,0,0.888888889,0.111111111,0.0,1
1266,8,12,0,0.4,0.6,0.0,1
1267,10,10,0,0.5,0.5,0.0,1
1268,10,11,0,0.476190476,0.523809524,0.0,1
1269,14,7,0,0.666666667,0.333333333,0.0,1
1270,14,7,0,0.666666667,0.333333333,0.0,1
1271,12,9,0,0.571428571,0.428571429,0.0,1
1272,12,9,0,0.571428571,0.428571429,0.0,1
1273,10,11,0,0.476190476,0.523809524,0.0,1
1274,13,7,0,0.65,0.35,0.0,1
1275,10,10,0,0.5,0.5,0.0,1
1276,6,15,0,0.285714286,0.714285714,0.0,1
1277,1,19,0,0.05,0.95,0.0,1
1278,0,19,2,0.0,0.904761905,0.095238095,1
1279,0,13,8,0.0,0.619047619,0.380952381,1
1280,0,4,18,0.0,0.181818182,0.818181818,1
1281,0,2,19,0.0,0.095238095,0.904761905,1
1282,0,0,20,0.0,0.0,1.0,1
1283,0,11,9,0.0,0.55,0.45,1
1284,0,14,7,0.0,0.666666667,0.333333333,1
1285,1,18,1,0.05,0.9,0.05,1
1286,2,18,0,0.1,0.9,0.0,1
1287,4,16,0,0.2,0.8,0.0,1
1288,1,20,0,0.047619048,0.952380952,0.0,1
1289,0,12,9,0.0,0.571428571,0.428571429,1
1290,2,13,5,0.1,0.65,0.25,1
1291,3,14,1,0.166666667,0.777777778,0.055555556,1
1292,5,12,0,0.294117647,0.705882353,0.0,1
1293,2,18,0,0.1,0.9,0.0,1
1294,0,17,3,0.0,0.85,0.15,1
1295,0,20,1,0.0,0.952380952,0.047619048,1
1296,0,19,1,0.0,0.95,0.05,1
1297,1,16,3,0.05,0.8,0.15,1
1298,5,6,0,0.454545455,0.545454545,0.0,1
1491,0,7,1,0.0,0.875,0.125,1
1492,1,9,0,0.1,0.9,0.0,1
1493,3,6,0,0.333333333,0.666666667,0.0,1
1494,10,7,0,0.588235294,0.411764706,0.0,1
1495,9,12,0,0.428571429,0.571428571,0.0,1
1496,0,19,1,0.0,0.95,0.05,1
1497,0,21,0,0.0,1.0,0.0,1
1498,0,20,0,0.0,1.0,0.0,1
1499,0,18,2,0.0,0.9,0.1,1
1500,0,20,1,0.0,0.952380952,0.047619048,1
1501,0,20,0,0.0,1.0,0.0,1
1502,0,21,0,0.0,1.0,0.0,1
1503,0,21,0,0.0,1.0,0.0,1
1504,0,22,0,0.0,1.0,0.0,1
1505,0,21,0,0.0,1.0,0.0,1
1506,1,20,0,0.047619048,0.952380952,0.0,1
1507,0,20,0,0.0,1.0,0.0,1
1508,0,10,10,0.0,0.5,0.5,1
1509,0,0,20,0.0,0.0,1.0,1
1510,0,0,20,0.0,0.0,1.0,1
1511,0,0,21,0.0,0.0,1.0,1
1512,0,4,16,0.0,0.2,0.8,1
1513,0,4,16,0.0,0.2,0.8,1
1514,0,3,17,0.0,0.15,0.85,1
1515,0,21,0,0.0,1.0,0.0,1
1516,0,18,3,0.0,0.857142857,0.142857143,1
1517,0,21,0,0.0,1.0,0.0,1
1518,3,7,8,0.166666667,0.388888889,0.444444444,1
1519,0,0,20,0.0,0.0,1.0,1
1520,0,3,17,0.0,0.15,0.85,1
1521,0,9,12,0.0,0.428571429,0.571428571,1
1522,0,14,6,0.0,0.7,0.3,1
1523,0,19,2,0.0,0.904761905,0.095238095,1
1524,0,15,5,0.0,0.75,0.25,1
1525,0,19,2,0.0,0.904761905,0.095238095,1
1526,0,17,4,0.0,0.80952381,0.19047619,1
1527,1,19,0,0.05,0.95,0.0,1
1716,1,2,0,0.333333333,0.666666667,0.0,1
1717,2,3,0,0.4,0.6,0.0,1
1718,1,9,1,0.090909091,0.818181818,0.090909091,1
1719,0,11,9,0.0,0.55,0.45,1
1720,0,15,6,0.0,0.714285714,0.285714286,1
1721,0,16,4,0.0,0.8,0.2,1
1722,0,21,0,0.0,1.0,0.0,1
1723,0,17,4,0.0,0.80952381,0.19047619,1
1724,0,13,7,0.0,0.65,0.35,1
1725,0,3,17,0.0,0.15,0.85,1
1726,0,12,8,0.0,0.6,0.4,1
1727,0,8,13,0.0,0.380952381,0.619047619,1
1728,0,12,9,0.0,0.571428571,0.428571429,1
1729,0,19,1,0.0,0.95,0.05,1
1730,0,17,3,0.0,0.85,0.15,1
1731,0,12,8,0.0,0.6,0.4,1
1732,0,17,3,0.0,0.85,0.15,1
1733,0,20,1,0.0,0.952380952,0.047619048,1
1734,0,20,0,0.0,1.0,0.0,1
1735,7,13,0,0.35,0.65,0.0,1
1736,0,17,3,0.0,0.85,0.15,1
1737,0,1,19,0.0,0.05,0.95,1
1738,0,0,20,0.0,0.0,1.0,1
1739,0,3,18,0.0,0.142857143,0.857142857,1
1740,0,1,19,0.0,0.05,0.95,1
1741,0,12,9,0.0,0.571428571,0.428571429,1
1742,0,6,15,0.0,0.285714286,0.714285714,1
1743,0,17,4,0.0,0.80952381,0.19047619,1
1744,0,20,0,0.0,1.0,0.0,1
1748,2,7,10,0.105263158,0.368421053,0.526315789,1
1749,0,7,14,0.0,0.333333333,0.666666667,1
1750,0,1,20,0.0,0.047619048,0.952380952,1
1751,0,6,15,0.0,0.285714286,0.714285714,1
1752,0,20,0,0.0,1.0,0.0,1
1753,0,16,4,0.0,0.8,0.2,1
1754,0,16,5,0.0,0.761904762,0.238095238,1
1755,0,20,0,0.0,1.0,0.0,1
1756,0,20,0,0.0,1.0,0.0,1
1757,1,8,0,0.111111111,0.888888889,0.0,1
1940,6,1,0,0.857142857,0.142857143,0.0,1
1941,5,6,0,0.454545455,0.545454545,0.0,1
1942,3,8,0,0.272727273,0.727272727,0.0,1
1943,1,7,1,0.111111111,0.777777778,0.111111111,1
1945,3,15,1,0.157894737,0.789473684,0.052631579,1
1946,0,18,3,0.0,0.857142857,0.142857143,1
