GRID_OID,ROCK,NON_ROCK,ROCK_S,NON_ROCK_S,TOTAL_S
334,2,0,1.0,0.0,1
370,0,1,0.0,1.0,1
578,1,0,1.0,0.0,1
579,1,0,1.0,0.0,1
581,1,0,1.0,0.0,1
582,1,0,1.0,0.0,1
583,2,0,1.0,0.0,1
609,1,0,1.0,0.0,1
807,1,0,1.0,0.0,1
808,1,0,1.0,0.0,1
809,2,0,1.0,0.0,1
810,2,0,1.0,0.0,1
811,1,0,1.0,0.0,1
812,2,0,1.0,0.0,1
813,1,0,1.0,0.0,1
814,2,0,1.0,0.0,1
815,2,0,1.0,0.0,1
816,1,0,1.0,0.0,1
817,2,0,1.0,0.0,1
818,1,0,1.0,0.0,1
1036,1,0,1.0,0.0,1
1037,2,0,1.0,0.0,1
1038,4,0,1.0,0.0,1
1039,4,0,1.0,0.0,1
1040,2,0,1.0,0.0,1
1041,4,0,1.0,0.0,1
1042,2,0,1.0,0.0,1
1043,4,0,1.0,0.0,1
1044,4,0,1.0,0.0,1
1045,2,0,1.0,0.0,1
1046,4,0,1.0,0.0,1
1047,4,0,1.0,0.0,1
1048,1,0,1.0,0.0,1
1049,3,0,1.0,0.0,1
1050,1,0,1.0,0.0,1
1051,2,0,1.0,0.0,1
1052,3,0,1.0,0.0,1
1053,2,0,1.0,0.0,1
1054,2,0,1.0,0.0,1
1055,1,0,1.0,0.0,1
1056,2,0,1.0,0.0,1
1057,2,0,1.0,0.0,1
1058,1,0,1.0,0.0,1
1059,2,0,1.0,0.0,1
1060,1,0,1.0,0.0,1
1066,1,0,1.0,0.0,1
1067,2,0,1.0,0.0,1
1265,1,0,1.0,0.0,1
1266,1,0,1.0,0.0,1
1267,2,0,1.0,0.0,1
1268,2,0,1.0,0.0,1
1269,1,0,1.0,0.0,1
1270,2,0,1.0,0.0,1
1271,1,0,1.0,0.0,1
1272,2,0,1.0,0.0,1
1273,2,0,1.0,0.0,1
1274,1,0,1.0,0.0,1
1275,2,0,1.0,0.0,1
1276,2,0,1.0,0.0,1
1277,1,0,1.0,0.0,1
1278,2,0,1.0,0.0,1
1279,1,0,1.0,0.0,1
1280,2,0,1.0,0.0,1
1281,2,0,1.0,0.0,1
1282,1,0,1.0,0.0,1
1283,2,0,1.0,0.0,1
1284,1,0,1.0,0.0,1
1285,2,0,1.0,0.0,1
1286,2,0,1.0,0.0,1
1287,1,0,1.0,0.0,1
1288,2,0,1.0,0.0,1
1289,1,0,1.0,0.0,1
1290,2,0,1.0,0.0,1
1291,2,0,1.0,0.0,1
1292,1,0,1.0,0.0,1
1293,2,0,1.0,0.0,1
1294,1,0,1.0,0.0,1
1295,2,0,1.0,0.0,1
1296,2,0,1.0,0.0,1
1297,1,0,1.0,0.0,1
1298,1,0,1.0,0.0,1
1491,0,2,0.0,1.0,1
1492,0,2,0.0,1.0,1
1493,0,1,0.0,1.0,1
1494,2,1,0.666666667,0.333333333,1
1495,2,0,1.0,0.0,1
1496,4,0,1.0,0.0,1
1497,4,0,1.0,0.0,1
1498,2,0,1.0,0.0,1
1499,4,0,1.0,0.0,1
1500,2,0,1.0,0.0,1
1501,4,0,1.0,0.0,1
1502,4,0,1.0,0.0,1
1503,2,0,1.0,0.0,1
1504,4,0,1.0,0.0,1
1505,4,0,1.0,0.0,1
1506,2,0,1.0,0.0,1
1507,4,0,1.0,0.0,1
1508,2,0,1.0,0.0,1
1509,4,0,1.0,0.0,1
1510,4,0,1.0,0.0,1
1511,2,0,1.0,0.0,1
