index;lon;lat;alt
TRM - TERMOVALORIZZATORE DEL GERBIDO;7.58822;45.03651;10.0
ROBILANTE cement plant;7.51762;44.26283;10.0
Trino Vercellese;8.2941;45.19014;10.0
Colacem - Stabilimento di Caravate;8.66754;45.8863;10.0
Holcim (Italia) S.p.A.-unità produttiva di Ternate;8.68158;45.78278;10.0
TERMOVALORIZZATORE BUSTO ARSIZIO;8.83732;45.57277;10.0
RAFFINERIA SARPOM DI TRECATE;8.78802;45.44183;10.0
LOMELLINA ENERGIA;8.78671;45.28836;10.0
RAFFINERIA DI SANNAZZARO DE' BURGONDI;8.88408;45.10104;10.0
Iplom S.p.A - Raffineria di Busalla;8.95045;44.57205;10.0
TERMOVALORIZZATORE COMO;9.07143;45.77406;10.0
TERMOVALORIZZATORE DI DESIO;9.17919;45.61005;10.0
SILLA 2;9.07256;45.5041;10.0
TermoTrezzo;9.24578;45.53693;10.0
S.Giuliano Milanese;9.28645;45.3912;10.0
TERMOVALORIZZATORE DI CORTEOLONA E GENZONE;9.36011;45.17085;10.0
Impianto di termovalorizzazione di Valmadrera;9.35965;45.83973;10.0
Italcementi Calusco D'Adda;9.4683;45.68723;10.0
Termovalorizzatore di Dalmine;9.60782;45.63466;10.0
Piacenza;9.70382;45.05738;10.0
VERNASCA cement plant;9.80998;44.79368;10.0
Stabilimento di Tavernola Bergamasca;10.04717;45.71698;10.0
TERMOVALORIZZATORE DI BRESCIA;10.20872;45.51314;10.0
Italcementi di Rezzato;10.3419;45.51604;10.0
TERMOVALORIZZATORE - PAIP;10.35805;44.85608;10.0
TERMOVALORIZZAOTRE DI VERONA;11.0537;45.4004;10.0
HERAMBIENTE S.R.L.  - IMPIANTO DI TERMOVALORIZZAZIONE RIFIUTI NON PERICOLOSI;10.94376;44.67614;10.0
TERMOVALORIZZATORE DI BOLZANO;11.30925;46.46858;10.0
HERAMBIENTE Spa -Termovalorizzatore;11.55637;44.86263;10.0
FRULLO ENERGIA AMBIENTE S.R.L.;11.42889;44.52286;10.0
MONSELICE cement plant;11.75079;45.25296;10.0
Stazione Ferroviaria;11.69642;45.04593;10.0
Cementirossi - Cementeria di Pederobba;11.96357;45.88;10.0
Impianto di Termovalorizzazione di San Lazzaro (PD);11.9241;45.4087;10.0
HERAMBIENTE - 3^ LINEA;12.08798;44.23439;10.0
STABILIMENTO DI PONTE DELLA PRIULA;12.26921;45.81616;10.0
Ravenna;12.2;44.41;10.0
Venezia;12.31551;45.44084;10.0
FANNA cement plant;12.74245;46.17642;10.0
Termovalorizzatore di Rimini;12.63189;43.9803;10.0
Impianto di Termovalorizzazione Rifiuti di Trieste;13.80006;45.61174;10.0
Eni S.p.A Casalborsetti;12.27448;44.5601;10.0
Porto Corsini;12.564;44.387;10.0
