;TRM - TERMOVALORIZZATORE DEL GERBIDO;ROBILANTE cement plant;Trino Vercellese;Colacem - Stabilimento di Caravate;Holcim (Italia) S.p.A.-unità produttiva di Ternate;TERMOVALORIZZATORE BUSTO ARSIZIO;RAFFINERIA SARPOM DI TRECATE;LOMELLINA ENERGIA;RAFFINERIA DI SANNAZZARO DE' BURGONDI;Iplom S.p.A - Raffineria di Busalla;TERMOVALORIZZATORE COMO;TERMOVALORIZZATORE DI DESIO;SILLA 2;TermoTrezzo;S.Giuliano Milanese;TERMOVALORIZZATORE DI CORTEOLONA E GENZONE;Impianto di termovalorizzazione di Valmadrera;Italcementi Calusco D'Adda;Termovalorizzatore di Dalmine;Piacenza;VERNASCA cement plant;Stabilimento di Tavernola Bergamasca;TERMOVALORIZZATORE DI BRESCIA;Italcementi di Rezzato;TERMOVALORIZZATORE - PAIP;TERMOVALORIZZAOTRE DI VERONA;HERAMBIENTE S.R.L.  - IMPIANTO DI TERMOVALORIZZAZIONE RIFIUTI NON PERICOLOSI;TERMOVALORIZZATORE DI BOLZANO;HERAMBIENTE Spa -Termovalorizzatore;FRULLO ENERGIA AMBIENTE S.R.L.;MONSELICE cement plant;Stazione Ferroviaria;Cementirossi - Cementeria di Pederobba;Impianto di Termovalorizzazione di San Lazzaro (PD);HERAMBIENTE - 3^ LINEA;STABILIMENTO DI PONTE DELLA PRIULA;Ravenna;Venezia;FANNA cement plant;Termovalorizzatore di Rimini;Impianto di Termovalorizzazione Rifiuti di Trieste;Eni S.p.A Casalborsetti;Porto Corsini
TRM - TERMOVALORIZZATORE DEL GERBIDO;0;0;238849.7510;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
ROBILANTE cement plant;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;386729.8210;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Trino Vercellese;0;0;0.0000;0;0.0000;0.0000;203858.3580;184401.5150;216480.2590;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Colacem - Stabilimento di Caravate;0;0;0.0000;0;133149.7910;0.0000;0.0000;0.0000;0.0000;0.0000;173983.7650;216008.1980;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Holcim (Italia) S.p.A.-unità produttiva di Ternate;0;0;0.0000;0;0.0000;152806.2660;0.0000;0.0000;0.0000;0.0000;159438.1670;190922.2450;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TERMOVALORIZZATORE BUSTO ARSIZIO;0;0;0.0000;0;0.0000;0.0000;139835.6380;0.0000;0.0000;0.0000;0.0000;154168.2340;162709.6340;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
RAFFINERIA SARPOM DI TRECATE;0;0;0.0000;0;0.0000;139835.6380;0.0000;153257.3550;0.0000;0.0000;0.0000;0.0000;161661.0650;0.0000;184660.0780;228959.4340;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
LOMELLINA ENERGIA;0;0;0.0000;0;0.0000;0.0000;153257.3550;0.0000;151975.8180;0.0000;0.0000;0.0000;171056.6950;0.0000;186745.1500;202491.3760;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
RAFFINERIA DI SANNAZZARO DE' BURGONDI;0;0;0.0000;0;0.0000;0.0000;0.0000;151975.8180;0.0000;242960.9380;0.0000;0.0000;0.0000;0.0000;201185.0960;190883.3970;0.0000;0.0000;0.0000;256335.1380;288264.2610;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
Iplom S.p.A - Raffineria di Busalla;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;242960.9380;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;282166.1370;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
TERMOVALORIZZATORE COMO;0;0;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;168488.7470;0.0000;0.0000;0.0000;0.0000;160286.5360;170767.4180;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;0.0000;0;0.0000;0.0000
