Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;-1.4;71.03;0.69;
2022-01-01 01:00:00;0.0;0.0;0.0;-1.44;70.92;0.66;
2022-01-01 02:00:00;0.0;0.0;0.0;-1.47;70.82;0.63;
2022-01-01 03:00:00;0.0;0.0;0.0;-1.51;70.71;0.61;
2022-01-01 04:00:00;0.0;0.0;0.0;-1.54;70.61;0.58;
2022-01-01 05:00:00;0.0;0.0;0.0;-1.57;70.51;0.55;
2022-01-01 06:00:00;0.0;0.0;0.0;-1.61;70.4;0.52;
2022-01-01 07:00:00;7.0;0.0;7.0;-1.64;70.3;0.49;
2022-01-01 08:00:00;139.0;633.32;36.0;-0.77;67.0;0.28;
2022-01-01 09:00:00;264.0;838.01;40.0;0.92;64.65;0.14;
2022-01-01 10:00:00;330.0;800.89;62.0;2.35;60.05;0.62;
2022-01-01 11:00:00;357.0;805.49;67.0;2.98;62.5;0.9;
2022-01-01 12:00:00;343.0;836.82;57.0;2.32;70.3;0.97;
2022-01-01 13:00:00;267.0;750.62;56.0;2.99;73.1;0.9;
2022-01-01 14:00:00;43.0;0.0;43.0;3.78;67.8;0.83;
2022-01-01 15:00:00;14.0;0.0;14.0;3.9;67.8;0.69;
2022-01-01 16:00:00;0.0;0.0;0.0;3.36;70.4;0.14;
2022-01-01 17:00:00;0.0;0.0;0.0;2.97;73.1;0.41;
2022-01-01 18:00:00;0.0;0.0;0.0;2.63;73.1;0.69;
2022-01-01 19:00:00;0.0;0.0;0.0;2.35;70.3;0.41;
2022-01-01 20:00:00;0.0;0.0;0.0;2.09;73.0;0.55;
2022-01-01 21:00:00;0.0;0.0;0.0;1.67;70.2;0.62;
2022-01-01 22:00:00;0.0;0.0;0.0;1.24;72.95;0.62;
2022-01-01 23:00:00;0.0;0.0;0.0;0.86;75.75;0.76;
2022-01-02 00:00:00;0.0;0.0;0.0;0.64;75.75;0.83;
2022-01-02 01:00:00;0.0;0.0;0.0;0.51;75.7;0.69;
2022-01-02 02:00:00;0.0;0.0;0.0;0.43;75.7;0.83;
2022-01-02 03:00:00;0.0;0.0;0.0;0.39;75.7;1.03;
2022-01-02 04:00:00;0.0;0.0;0.0;0.38;75.7;1.1;
2022-01-02 05:00:00;0.0;0.0;0.0;0.5;78.75;1.03;
2022-01-02 06:00:00;0.0;0.0;0.0;0.59;75.75;1.03;
2022-01-02 07:00:00;5.0;0.0;5.0;1.66;70.2;0.9;
2022-01-02 08:00:00;144.0;693.24;31.0;2.01;73.0;0.83;
2022-01-02 09:00:00;244.0;660.47;67.0;3.68;76.15;0.28;
2022-01-02 10:00:00;319.0;712.03;80.0;5.68;65.65;0.28;
2022-01-02 11:00:00;309.0;484.23;134.0;7.1;63.35;0.62;
2022-01-02 12:00:00;282.0;422.18;137.0;7.43;63.5;0.83;
2022-01-02 13:00:00;235.0;473.42;101.0;7.57;65.95;0.9;
2022-01-02 14:00:00;77.0;0.0;77.0;7.47;71.15;0.97;
2022-01-02 15:00:00;13.0;0.0;13.0;6.83;73.8;0.97;
2022-01-02 16:00:00;0.0;0.0;0.0;6.09;79.4;0.83;
2022-01-02 17:00:00;0.0;0.0;0.0;5.46;79.35;0.83;
2022-01-02 18:00:00;0.0;0.0;0.0;5.16;79.35;0.83;
2022-01-02 19:00:00;0.0;0.0;0.0;5.54;79.35;0.62;
2022-01-02 20:00:00;0.0;0.0;0.0;5.13;79.3;1.03;
2022-01-02 21:00:00;0.0;0.0;0.0;4.93;79.3;0.97;
2022-01-02 22:00:00;0.0;0.0;0.0;4.51;79.2;0.97;
2022-01-02 23:00:00;0.0;0.0;0.0;4.22;76.25;0.97;
2022-01-03 00:00:00;0.0;0.0;0.0;3.76;76.15;1.24;
2022-01-03 01:00:00;0.0;0.0;0.0;3.7;73.3;1.17;
2022-01-03 02:00:00;0.0;0.0;0.0;3.56;76.1;1.17;
2022-01-03 03:00:00;0.0;0.0;0.0;3.14;73.2;1.17;
2022-01-03 04:00:00;0.0;0.0;0.0;2.71;76.0;1.17;
2022-01-03 05:00:00;0.0;0.0;0.0;2.06;75.95;1.31;
2022-01-03 06:00:00;0.0;0.0;0.0;0.22;78.75;1.52;
2022-01-03 07:00:00;7.0;0.0;7.0;-0.97;85.0;1.52;
2022-01-03 08:00:00;114.0;324.18;61.0;0.77;81.95;1.38;
2022-01-03 09:00:00;224.0;487.35;93.0;4.12;88.75;0.76;
2022-01-03 10:00:00;321.0;721.47;78.0;7.46;76.7;0.14;
2022-01-03 11:00:00;352.0;752.3;79.0;8.68;63.8;0.62;
2022-01-03 12:00:00;325.0;698.05;84.0;9.1;63.8;0.48;
2022-01-03 13:00:00;230.0;431.42;107.0;9.39;63.9;0.48;
2022-01-03 14:00:00;44.0;0.0;44.0;9.06;68.8;0.76;
2022-01-03 15:00:00;17.0;0.0;17.0;8.24;74.05;0.83;
2022-01-03 16:00:00;0.0;0.0;0.0;7.54;76.7;0.69;
2022-01-03 17:00:00;0.0;0.0;0.0;6.72;76.65;0.28;
2022-01-03 18:00:00;0.0;0.0;0.0;6.02;82.5;0.07;
2022-01-03 19:00:00;0.0;0.0;0.0;5.66;82.5;0.14;
2022-01-03 20:00:00;0.0;0.0;0.0;5.13;85.55;0.28;
2022-01-03 21:00:00;0.0;0.0;0.0;4.42;88.8;0.83;
2022-01-03 22:00:00;0.0;0.0;0.0;3.28;88.7;0.97;
2022-01-03 23:00:00;0.0;0.0;0.0;2.65;88.65;0.97;
2022-01-04 00:00:00;0.0;0.0;0.0;2.19;85.35;0.97;
2022-01-04 01:00:00;0.0;0.0;0.0;2.11;82.15;0.9;
2022-01-04 02:00:00;0.0;0.0;0.0;1.94;85.3;0.97;
2022-01-04 03:00:00;0.0;0.0;0.0;1.39;85.25;1.38;
2022-01-04 04:00:00;0.0;0.0;0.0;1.57;82.0;1.52;
2022-01-04 05:00:00;0.0;0.0;0.0;2.46;79.0;1.31;
2022-01-04 06:00:00;0.0;0.0;0.0;0.86;78.8;1.72;
2022-01-04 07:00:00;7.0;0.0;7.0;-0.25;81.8;1.66;
2022-01-04 08:00:00;141.0;621.58;39.0;1.11;82.0;1.38;
2022-01-04 09:00:00;261.0;771.13;53.0;3.82;85.45;0.69;
2022-01-04 10:00:00;340.0;825.24;61.0;6.32;82.55;0.69;
2022-01-04 11:00:00;367.0;814.83;70.0;7.61;76.7;0.97;
2022-01-04 12:00:00;350.0;829.58;62.0;8.38;74.05;0.97;
2022-01-04 13:00:00;275.0;737.98;63.0;8.79;71.4;0.83;
2022-01-04 14:00:00;41.0;0.0;41.0;8.74;74.15;0.62;
2022-01-04 15:00:00;18.0;0.0;18.0;7.79;79.7;0.69;
2022-01-04 16:00:00;0.0;0.0;0.0;7.02;79.55;0.62;
2022-01-04 17:00:00;0.0;0.0;0.0;6.07;82.5;0.34;
2022-01-04 18:00:00;0.0;0.0;0.0;5.49;79.35;0.0;
2022-01-04 19:00:00;0.0;0.0;0.0;1.33;50.9;1.52;
2022-01-04 20:00:00;0.0;0.0;0.0;3.64;42.0;1.66;
2022-01-04 21:00:00;0.0;0.0;0.0;1.85;43.3;1.86;
2022-01-04 22:00:00;0.0;0.0;0.0;1.52;43.2;1.86;
2022-01-04 23:00:00;0.0;0.0;0.0;2.26;38.4;1.79;
2022-01-05 00:00:00;0.0;0.0;0.0;2.5;36.85;1.52;
2022-01-05 01:00:00;0.0;0.0;0.0;3.53;34.0;1.1;
2022-01-05 02:00:00;0.0;0.0;0.0;2.94;35.35;0.69;
2022-01-05 03:00:00;0.0;0.0;0.0;2.07;36.7;0.41;
2022-01-05 04:00:00;0.0;0.0;0.0;1.32;39.75;0.69;
2022-01-05 05:00:00;0.0;0.0;0.0;0.83;43.05;0.9;
2022-01-05 06:00:00;0.0;0.0;0.0;0.72;44.85;0.83;
2022-01-05 07:00:00;7.0;0.0;7.0;1.96;41.55;1.1;
2022-01-05 08:00:00;142.0;606.71;42.0;2.45;41.7;0.76;
2022-01-05 09:00:00;261.0;753.36;57.0;3.57;51.3;0.28;
2022-01-05 10:00:00;346.0;845.41;59.0;5.59;47.85;0.48;
2022-01-05 11:00:00;374.0;838.28;67.0;6.8;44.6;0.9;
2022-01-05 12:00:00;357.0;850.53;60.0;6.11;51.95;1.03;
2022-01-05 13:00:00;282.0;777.08;57.0;5.58;58.3;1.17;
