Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;3.51;90.64;0.76;
2022-01-01 01:00:00;0.0;0.0;0.0;3.23;91.66;0.73;
2022-01-01 02:00:00;0.0;0.0;0.0;2.96;92.67;0.7;
2022-01-01 03:00:00;0.0;0.0;0.0;2.69;93.69;0.67;
2022-01-01 04:00:00;0.0;0.0;0.0;2.41;94.7;0.64;
2022-01-01 05:00:00;0.0;0.0;0.0;2.14;95.72;0.61;
2022-01-01 06:00:00;0.0;0.0;0.0;1.86;96.73;0.58;
2022-01-01 07:00:00;0.0;0.0;0.0;1.59;97.74;0.56;
2022-01-01 08:00:00;71.0;118.31;55.0;2.45;99.4;0.48;
2022-01-01 09:00:00;124.0;64.72;108.0;3.42;95.7;0.62;
2022-01-01 10:00:00;193.0;123.76;153.0;4.1;92.15;0.76;
2022-01-01 11:00:00;195.0;75.4;168.0;5.07;85.55;0.83;
2022-01-01 12:00:00;155.0;25.76;146.0;5.83;82.5;0.83;
2022-01-01 13:00:00;218.0;298.86;129.0;6.15;82.5;0.97;
2022-01-01 14:00:00;149.0;338.54;79.0;5.92;82.5;0.9;
2022-01-01 15:00:00;49.0;302.92;24.0;5.65;85.6;0.69;
2022-01-01 16:00:00;0.0;0.0;0.0;5.08;88.85;0.48;
2022-01-01 17:00:00;0.0;0.0;0.0;4.78;85.55;0.28;
2022-01-01 18:00:00;0.0;0.0;0.0;4.54;92.2;0.28;
2022-01-01 19:00:00;0.0;0.0;0.0;3.98;95.7;0.48;
2022-01-01 20:00:00;0.0;0.0;0.0;3.92;95.7;0.41;
2022-01-01 21:00:00;0.0;0.0;0.0;3.81;95.7;0.48;
2022-01-01 22:00:00;0.0;0.0;0.0;3.57;99.4;0.62;
2022-01-01 23:00:00;0.0;0.0;0.0;3.2;95.7;0.62;
2022-01-02 00:00:00;0.0;0.0;0.0;2.83;95.7;0.62;
2022-01-02 01:00:00;0.0;0.0;0.0;2.78;95.7;0.69;
2022-01-02 02:00:00;0.0;0.0;0.0;2.78;95.7;0.69;
2022-01-02 03:00:00;0.0;0.0;0.0;2.86;95.7;0.55;
2022-01-02 04:00:00;0.0;0.0;0.0;2.85;95.7;0.48;
2022-01-02 05:00:00;0.0;0.0;0.0;2.77;95.7;0.62;
2022-01-02 06:00:00;0.0;0.0;0.0;2.81;92.15;0.76;
2022-01-02 07:00:00;0.0;0.0;0.0;2.9;95.7;0.62;
2022-01-02 08:00:00;72.0;132.81;54.0;3.08;95.7;0.62;
2022-01-02 09:00:00;0.0;0.0;0.0;3.35;95.7;0.76;
2022-01-02 10:00:00;214.0;191.26;152.0;2.9;95.7;0.9;
2022-01-02 11:00:00;31.0;0.0;31.0;2.87;95.7;0.9;
2022-01-02 12:00:00;60.0;0.0;60.0;2.4;95.7;0.83;
2022-01-02 13:00:00;147.0;53.39;131.0;2.14;95.7;0.62;
2022-01-02 14:00:00;65.0;4.79;64.0;2.15;95.7;0.48;
2022-01-02 15:00:00;11.0;0.0;11.0;2.18;95.7;0.41;
2022-01-02 16:00:00;0.0;0.0;0.0;2.17;95.7;0.48;
2022-01-02 17:00:00;0.0;0.0;0.0;2.18;95.7;0.41;
2022-01-02 18:00:00;0.0;0.0;0.0;2.16;95.7;0.48;
2022-01-02 19:00:00;0.0;0.0;0.0;2.2;95.7;0.69;
2022-01-02 20:00:00;0.0;0.0;0.0;1.97;99.4;0.69;
2022-01-02 21:00:00;0.0;0.0;0.0;1.82;95.65;0.55;
2022-01-02 22:00:00;0.0;0.0;0.0;1.71;95.65;0.41;
2022-01-02 23:00:00;0.0;0.0;0.0;1.83;95.65;0.28;
2022-01-03 00:00:00;0.0;0.0;0.0;1.91;95.65;0.21;
2022-01-03 01:00:00;0.0;0.0;0.0;2.0;99.4;0.34;
2022-01-03 02:00:00;0.0;0.0;0.0;2.01;99.4;0.55;
2022-01-03 03:00:00;0.0;0.0;0.0;1.97;99.4;0.55;
2022-01-03 04:00:00;0.0;0.0;0.0;1.87;95.65;0.28;
2022-01-03 05:00:00;0.0;0.0;0.0;1.81;95.65;0.14;
2022-01-03 06:00:00;0.0;0.0;0.0;1.91;95.65;0.28;
2022-01-03 07:00:00;0.0;0.0;0.0;2.72;88.7;0.48;
2022-01-03 08:00:00;60.0;51.49;53.0;3.0;88.7;0.21;
2022-01-03 09:00:00;94.0;12.07;91.0;3.38;95.7;0.14;
2022-01-03 10:00:00;72.0;0.0;72.0;4.73;85.55;0.48;
2022-01-03 11:00:00;75.0;0.0;75.0;5.55;85.6;1.1;
2022-01-03 12:00:00;166.0;34.02;154.0;5.84;82.5;1.38;
2022-01-03 13:00:00;78.0;0.0;78.0;5.92;82.5;1.66;
2022-01-03 14:00:00;94.0;37.9;86.0;5.7;82.5;1.66;
2022-01-03 15:00:00;29.0;22.96;27.0;5.08;88.85;1.59;
2022-01-03 16:00:00;0.0;0.0;0.0;4.25;92.2;1.38;
2022-01-03 17:00:00;0.0;0.0;0.0;3.86;95.7;1.24;
2022-01-03 18:00:00;0.0;0.0;0.0;3.42;99.4;1.03;
2022-01-03 19:00:00;0.0;0.0;0.0;2.74;95.7;0.9;
2022-01-03 20:00:00;0.0;0.0;0.0;2.53;95.7;0.83;
2022-01-03 21:00:00;0.0;0.0;0.0;2.24;95.7;1.03;
2022-01-03 22:00:00;0.0;0.0;0.0;1.92;95.65;0.97;
2022-01-03 23:00:00;0.0;0.0;0.0;1.72;95.65;0.76;
2022-01-04 00:00:00;0.0;0.0;0.0;1.62;95.65;0.62;
2022-01-04 01:00:00;0.0;0.0;0.0;1.55;99.4;0.62;
2022-01-04 02:00:00;0.0;0.0;0.0;1.49;95.65;0.55;
2022-01-04 03:00:00;0.0;0.0;0.0;1.43;95.65;0.41;
2022-01-04 04:00:00;0.0;0.0;0.0;1.29;95.65;0.0;
2022-01-04 05:00:00;0.0;0.0;0.0;1.2;95.65;0.0;
2022-01-04 06:00:00;0.0;0.0;0.0;1.08;95.65;0.41;
2022-01-04 07:00:00;0.0;0.0;0.0;1.24;92.05;0.48;
2022-01-04 08:00:00;53.0;29.3;49.0;1.43;92.05;0.62;
2022-01-04 09:00:00;96.0;12.03;93.0;1.92;85.3;0.76;
2022-01-04 10:00:00;100.0;0.0;100.0;2.53;85.35;0.76;
2022-01-04 11:00:00;113.0;0.0;113.0;3.24;82.2;0.83;
2022-01-04 12:00:00;139.0;8.46;136.0;3.94;82.25;0.83;
2022-01-04 13:00:00;135.0;29.62;126.0;4.33;76.25;0.97;
2022-01-04 14:00:00;79.0;14.06;76.0;4.34;76.25;0.9;
2022-01-04 15:00:00;31.0;33.5;28.0;4.01;79.15;0.97;
2022-01-04 16:00:00;0.0;0.0;0.0;3.15;85.4;0.76;
2022-01-04 17:00:00;0.0;0.0;0.0;2.58;85.35;0.69;
2022-01-04 18:00:00;0.0;0.0;0.0;2.6;88.65;0.76;
2022-01-04 19:00:00;0.0;0.0;0.0;2.53;88.65;0.69;
2022-01-04 20:00:00;0.0;0.0;0.0;2.16;88.65;0.9;
2022-01-04 21:00:00;0.0;0.0;0.0;1.83;95.65;0.62;
2022-01-04 22:00:00;0.0;0.0;0.0;1.49;95.65;0.83;
2022-01-04 23:00:00;0.0;0.0;0.0;-0.14;95.6;1.03;
2022-01-05 00:00:00;0.0;0.0;0.0;-0.26;95.6;1.24;
2022-01-05 01:00:00;0.0;0.0;0.0;0.8;95.65;0.9;
2022-01-05 02:00:00;0.0;0.0;0.0;0.69;92.05;0.9;
2022-01-05 03:00:00;0.0;0.0;0.0;0.73;95.65;0.97;
