Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;7.24;52.19;1.71;
2022-01-01 01:00:00;0.0;0.0;0.0;6.89;60.03;1.74;
2022-01-01 02:00:00;0.0;0.0;0.0;6.54;67.88;1.77;
2022-01-01 03:00:00;0.0;0.0;0.0;6.19;75.73;1.81;
2022-01-01 04:00:00;0.0;0.0;0.0;5.84;83.57;1.84;
2022-01-01 05:00:00;0.0;0.0;0.0;5.49;91.42;1.87;
2022-01-01 06:00:00;0.0;0.0;0.0;5.14;99.26;1.9;
2022-01-01 07:00:00;12.0;22.61;11.0;4.79;100.0;1.93;
2022-01-01 08:00:00;65.0;11.0;63.0;5.02;88.85;2.07;
2022-01-01 09:00:00;80.0;0.0;80.0;4.98;88.85;2.21;
2022-01-01 10:00:00;67.0;0.0;67.0;5.56;88.9;3.17;
2022-01-01 11:00:00;83.0;0.0;83.0;5.77;88.9;2.62;
2022-01-01 12:00:00;120.0;2.76;119.0;6.1;85.7;2.48;
2022-01-01 13:00:00;154.0;70.22;133.0;6.49;85.7;2.28;
2022-01-01 14:00:00;86.0;40.59;78.0;6.61;85.7;1.79;
2022-01-01 15:00:00;20.0;31.75;18.0;6.73;85.7;1.72;
2022-01-01 16:00:00;0.0;0.0;0.0;6.26;85.7;1.66;
2022-01-01 17:00:00;0.0;0.0;0.0;6.18;88.95;1.38;
2022-01-01 18:00:00;0.0;0.0;0.0;5.87;85.7;1.24;
2022-01-01 19:00:00;0.0;0.0;0.0;5.79;88.9;1.52;
2022-01-01 20:00:00;0.0;0.0;0.0;5.96;88.95;1.66;
2022-01-01 21:00:00;0.0;0.0;0.0;5.9;88.95;1.66;
2022-01-01 22:00:00;0.0;0.0;0.0;5.52;88.9;2.34;
2022-01-01 23:00:00;0.0;0.0;0.0;5.34;88.9;2.62;
2022-01-02 00:00:00;0.0;0.0;0.0;5.25;92.25;2.76;
2022-01-02 01:00:00;0.0;0.0;0.0;5.23;92.25;2.76;
2022-01-02 02:00:00;0.0;0.0;0.0;5.15;92.25;2.55;
2022-01-02 03:00:00;0.0;0.0;0.0;5.13;88.85;2.62;
2022-01-02 04:00:00;0.0;0.0;0.0;5.11;88.85;2.83;
2022-01-02 05:00:00;0.0;0.0;0.0;5.03;88.85;2.9;
2022-01-02 06:00:00;0.0;0.0;0.0;4.97;88.85;2.97;
2022-01-02 07:00:00;16.0;67.75;13.0;5.05;88.85;3.03;
2022-01-02 08:00:00;112.0;197.7;76.0;5.27;88.85;3.03;
2022-01-02 09:00:00;204.0;266.55;127.0;5.17;88.85;3.03;
2022-01-02 10:00:00;171.0;41.98;156.0;5.21;85.6;4.14;
2022-01-02 11:00:00;146.0;7.84;143.0;5.79;82.5;3.66;
2022-01-02 12:00:00;103.0;0.0;103.0;6.18;82.55;3.31;
2022-01-02 13:00:00;76.0;0.0;76.0;6.41;82.55;3.17;
2022-01-02 14:00:00;58.0;0.0;58.0;6.76;82.55;3.38;
