Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;-0.31;90.73;1.86;
2022-01-01 01:00:00;0.0;0.0;0.0;-0.97;90.88;1.89;
2022-01-01 02:00:00;0.0;0.0;0.0;-1.63;91.02;1.92;
2022-01-01 03:00:00;0.0;0.0;0.0;-2.28;91.17;1.95;
2022-01-01 04:00:00;0.0;0.0;0.0;-2.94;91.31;1.98;
2022-01-01 05:00:00;0.0;0.0;0.0;-3.59;91.46;2.01;
2022-01-01 06:00:00;0.0;0.0;0.0;-4.25;91.6;2.04;
2022-01-01 07:00:00;11.0;0.0;11.0;-4.91;91.75;2.07;
2022-01-01 08:00:00;143.0;519.34;52.0;-1.53;88.35;1.52;
2022-01-01 09:00:00;242.0;511.08;97.0;2.52;82.15;0.83;
2022-01-01 10:00:00;345.0;756.66;77.0;5.17;70.8;0.28;
2022-01-01 11:00:00;371.0;735.89;90.0;6.68;68.4;0.28;
2022-01-01 12:00:00;338.0;633.2;107.0;7.6;66.05;0.41;
2022-01-01 13:00:00;280.0;660.68;79.0;7.94;68.6;0.55;
2022-01-01 14:00:00;169.0;523.88;62.0;7.56;73.9;1.03;
2022-01-01 15:00:00;41.0;265.15;22.0;6.59;76.65;1.59;
2022-01-01 16:00:00;0.0;0.0;0.0;4.98;85.55;1.93;
2022-01-01 17:00:00;0.0;0.0;0.0;3.37;92.15;2.0;
2022-01-01 18:00:00;0.0;0.0;0.0;2.52;95.65;1.93;
2022-01-01 19:00:00;0.0;0.0;0.0;2.0;99.4;1.79;
2022-01-01 20:00:00;0.0;0.0;0.0;1.93;99.4;1.72;
2022-01-01 21:00:00;0.0;0.0;0.0;1.62;95.65;1.72;
2022-01-01 22:00:00;0.0;0.0;0.0;1.91;99.4;1.45;
2022-01-01 23:00:00;0.0;0.0;0.0;2.15;99.4;1.31;
2022-01-02 00:00:00;0.0;0.0;0.0;2.58;95.7;0.9;
2022-01-02 01:00:00;0.0;0.0;0.0;3.19;95.7;0.55;
2022-01-02 02:00:00;0.0;0.0;0.0;3.1;95.7;0.55;
2022-01-02 03:00:00;0.0;0.0;0.0;2.97;99.4;0.76;
2022-01-02 04:00:00;0.0;0.0;0.0;3.1;95.7;0.76;
2022-01-02 05:00:00;0.0;0.0;0.0;3.3;95.7;0.55;
2022-01-02 06:00:00;0.0;0.0;0.0;3.45;95.7;0.55;
2022-01-02 07:00:00;8.0;0.0;8.0;3.15;95.7;0.69;
2022-01-02 08:00:00;50.0;0.0;50.0;3.55;95.7;0.97;
2022-01-02 09:00:00;51.0;0.0;51.0;4.1;95.75;1.1;
2022-01-02 10:00:00;63.0;0.0;63.0;4.58;95.75;1.31;
2022-01-02 11:00:00;106.0;0.0;106.0;5.24;95.75;1.72;
2022-01-02 12:00:00;81.0;0.0;81.0;5.35;95.75;2.0;
2022-01-02 13:00:00;102.0;3.27;101.0;5.44;99.4;2.14;
2022-01-02 14:00:00;38.0;0.0;38.0;5.44;99.4;1.93;
2022-01-02 15:00:00;30.0;81.16;24.0;5.09;95.75;1.86;
2022-01-02 16:00:00;0.0;0.0;0.0;4.73;99.4;2.0;
2022-01-02 17:00:00;0.0;0.0;0.0;4.46;99.4;2.14;
2022-01-02 18:00:00;0.0;0.0;0.0;4.31;99.4;2.28;
2022-01-02 19:00:00;0.0;0.0;0.0;4.35;99.4;2.0;
2022-01-02 20:00:00;0.0;0.0;0.0;4.36;99.4;2.21;
2022-01-02 21:00:00;0.0;0.0;0.0;4.57;95.75;2.21;
2022-01-02 22:00:00;0.0;0.0;0.0;4.69;95.75;2.28;
2022-01-02 23:00:00;0.0;0.0;0.0;4.77;99.4;2.34;
2022-01-03 00:00:00;0.0;0.0;0.0;4.73;95.75;2.41;
2022-01-03 01:00:00;0.0;0.0;0.0;4.7;95.75;2.48;
2022-01-03 02:00:00;0.0;0.0;0.0;4.74;95.75;2.34;
2022-01-03 03:00:00;0.0;0.0;0.0;4.82;95.75;2.28;
2022-01-03 04:00:00;0.0;0.0;0.0;4.87;95.75;2.28;
2022-01-03 05:00:00;0.0;0.0;0.0;4.87;95.75;2.14;
2022-01-03 06:00:00;0.0;0.0;0.0;4.06;95.75;2.07;
2022-01-03 07:00:00;10.0;0.0;10.0;3.93;99.4;1.93;
2022-01-03 08:00:00;145.0;551.21;48.0;4.43;99.4;1.59;
2022-01-03 09:00:00;267.0;715.48;63.0;6.4;92.3;1.52;
2022-01-03 10:00:00;347.0;769.02;73.0;8.03;85.85;1.66;
2022-01-03 11:00:00;388.0;834.52;67.0;9.0;82.85;1.72;
2022-01-03 12:00:00;357.0;757.63;78.0;9.76;77.1;1.59;
2022-01-03 13:00:00;289.0;713.78;69.0;10.23;71.7;1.38;
2022-01-03 14:00:00;176.0;584.75;54.0;10.35;71.7;1.24;
2022-01-03 15:00:00;41.0;209.71;25.0;9.84;77.1;1.1;
2022-01-03 16:00:00;0.0;0.0;0.0;8.12;82.75;1.59;
2022-01-03 17:00:00;0.0;0.0;0.0;6.55;92.3;1.03;
2022-01-03 18:00:00;0.0;0.0;0.0;4.98;95.75;1.38;
2022-01-03 19:00:00;0.0;0.0;0.0;3.12;99.4;2.0;
2022-01-03 20:00:00;0.0;0.0;0.0;1.89;100.0;1.93;
2022-01-03 21:00:00;0.0;0.0;0.0;1.14;99.35;1.93;
2022-01-03 22:00:00;0.0;0.0;0.0;0.84;95.65;1.93;
2022-01-03 23:00:00;0.0;0.0;0.0;0.57;92.05;2.0;
2022-01-04 00:00:00;0.0;0.0;0.0;0.48;95.65;1.93;
2022-01-04 01:00:00;0.0;0.0;0.0;0.25;92.0;1.93;
2022-01-04 02:00:00;0.0;0.0;0.0;0.14;92.0;1.93;
2022-01-04 03:00:00;0.0;0.0;0.0;0.08;92.0;1.86;
2022-01-04 04:00:00;0.0;0.0;0.0;-0.03;92.0;2.0;
2022-01-04 05:00:00;0.0;0.0;0.0;0.08;88.5;1.93;
2022-01-04 06:00:00;0.0;0.0;0.0;0.14;88.5;1.79;
2022-01-04 07:00:00;10.0;0.0;10.0;0.41;92.0;1.93;
