Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;3.44;89.0;1.53;
2022-01-01 01:00:00;0.0;0.0;0.0;3.46;91.15;1.55;
2022-01-01 02:00:00;0.0;0.0;0.0;3.48;93.29;1.58;
2022-01-01 03:00:00;0.0;0.0;0.0;3.5;95.44;1.61;
2022-01-01 04:00:00;0.0;0.0;0.0;3.52;97.59;1.63;
2022-01-01 05:00:00;0.0;0.0;0.0;3.54;99.73;1.66;
2022-01-01 06:00:00;0.0;0.0;0.0;3.56;100.0;1.69;
2022-01-01 07:00:00;2.0;0.0;2.0;3.58;100.0;1.71;
2022-01-01 08:00:00;40.0;0.0;40.0;4.91;95.75;1.72;
2022-01-01 09:00:00;59.0;0.0;59.0;5.42;95.75;1.93;
2022-01-01 10:00:00;84.0;0.0;84.0;5.46;95.75;3.17;
2022-01-01 11:00:00;32.0;0.0;32.0;5.39;95.75;3.52;
2022-01-01 12:00:00;48.0;0.0;48.0;5.25;95.75;3.38;
2022-01-01 13:00:00;62.0;0.0;62.0;4.98;92.25;3.38;
2022-01-01 14:00:00;29.0;0.0;29.0;4.86;95.75;3.79;
2022-01-01 15:00:00;3.0;0.0;3.0;5.08;92.25;3.52;
2022-01-01 16:00:00;0.0;0.0;0.0;5.08;92.25;2.55;
2022-01-01 17:00:00;0.0;0.0;0.0;4.45;92.25;2.28;
2022-01-01 18:00:00;0.0;0.0;0.0;4.0;95.75;2.14;
2022-01-01 19:00:00;0.0;0.0;0.0;3.41;92.15;2.0;
2022-01-01 20:00:00;0.0;0.0;0.0;2.65;95.7;1.03;
2022-01-01 21:00:00;0.0;0.0;0.0;1.53;99.4;1.1;
2022-01-01 22:00:00;0.0;0.0;0.0;1.74;99.4;0.34;
2022-01-01 23:00:00;0.0;0.0;0.0;-0.21;100.0;1.52;
2022-01-02 00:00:00;0.0;0.0;0.0;0.0;99.4;1.45;
2022-01-02 01:00:00;0.0;0.0;0.0;-0.13;99.4;1.24;
2022-01-02 02:00:00;0.0;0.0;0.0;-0.4;100.0;1.79;
2022-01-02 03:00:00;0.0;0.0;0.0;0.02;99.4;2.21;
2022-01-02 04:00:00;0.0;0.0;0.0;0.62;99.4;2.34;
2022-01-02 05:00:00;0.0;0.0;0.0;1.06;99.35;2.55;
2022-01-02 06:00:00;0.0;0.0;0.0;1.28;100.0;2.62;
2022-01-02 07:00:00;4.0;0.0;4.0;2.53;95.7;3.52;
2022-01-02 08:00:00;86.0;75.41;73.0;3.42;92.15;3.52;
2022-01-02 09:00:00;38.0;0.0;38.0;4.44;88.85;3.17;
2022-01-02 10:00:00;215.0;131.31;169.0;6.02;82.55;3.52;
