Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;1.77;93.71;0.55;
2022-01-01 01:00:00;0.0;0.0;0.0;1.9;93.63;0.52;
2022-01-01 02:00:00;0.0;0.0;0.0;2.04;93.56;0.49;
2022-01-01 03:00:00;0.0;0.0;0.0;2.17;93.49;0.46;
2022-01-01 04:00:00;0.0;0.0;0.0;2.31;93.42;0.43;
2022-01-01 05:00:00;0.0;0.0;0.0;2.44;93.35;0.4;
2022-01-01 06:00:00;0.0;0.0;0.0;2.58;93.28;0.37;
2022-01-01 07:00:00;0.0;0.0;0.0;2.71;93.21;0.34;
2022-01-01 08:00:00;60.0;51.24;53.0;2.25;95.7;0.34;
2022-01-01 09:00:00;100.0;20.1;95.0;3.15;92.15;0.41;
2022-01-01 10:00:00;123.0;9.23;120.0;3.98;88.75;0.62;
2022-01-01 11:00:00;127.0;5.56;125.0;4.99;85.55;0.69;
2022-01-01 12:00:00;122.0;2.85;121.0;5.7;79.4;0.83;
2022-01-01 13:00:00;144.0;46.77;130.0;6.0;79.4;0.97;
2022-01-01 14:00:00;119.0;139.37;90.0;5.86;79.4;0.9;
2022-01-01 15:00:00;27.0;0.0;27.0;5.63;79.35;0.62;
2022-01-01 16:00:00;0.0;0.0;0.0;5.01;85.55;0.55;
2022-01-01 17:00:00;0.0;0.0;0.0;4.68;82.35;0.41;
2022-01-01 18:00:00;0.0;0.0;0.0;4.43;88.8;0.34;
2022-01-01 19:00:00;0.0;0.0;0.0;3.42;95.7;0.69;
2022-01-01 20:00:00;0.0;0.0;0.0;3.29;95.7;0.69;
2022-01-01 21:00:00;0.0;0.0;0.0;3.14;95.7;0.69;
2022-01-01 22:00:00;0.0;0.0;0.0;3.0;95.7;0.76;
2022-01-01 23:00:00;0.0;0.0;0.0;2.82;92.15;0.76;
2022-01-02 00:00:00;0.0;0.0;0.0;2.63;92.15;0.76;
2022-01-02 01:00:00;0.0;0.0;0.0;2.3;95.7;0.76;
2022-01-02 02:00:00;0.0;0.0;0.0;2.2;95.7;0.76;
2022-01-02 03:00:00;0.0;0.0;0.0;2.45;95.7;0.55;
2022-01-02 04:00:00;0.0;0.0;0.0;2.27;95.7;0.69;
2022-01-02 05:00:00;0.0;0.0;0.0;2.38;95.7;0.83;
2022-01-02 06:00:00;0.0;0.0;0.0;2.52;95.7;0.83;
2022-01-02 07:00:00;0.0;0.0;0.0;2.65;95.7;0.55;
2022-01-02 08:00:00;68.0;102.26;54.0;2.84;95.7;0.62;
2022-01-02 09:00:00;0.0;0.0;0.0;3.03;95.7;0.83;
2022-01-02 10:00:00;37.0;0.0;37.0;2.57;99.4;1.03;
2022-01-02 11:00:00;72.0;0.0;72.0;2.53;95.7;1.03;
2022-01-02 12:00:00;47.0;0.0;47.0;2.06;99.4;0.97;
2022-01-02 13:00:00;138.0;36.52;127.0;1.74;95.65;0.62;
2022-01-02 14:00:00;71.0;9.52;69.0;1.74;95.65;0.55;
2022-01-02 15:00:00;15.0;0.0;15.0;1.78;95.65;0.41;
2022-01-02 16:00:00;0.0;0.0;0.0;1.77;95.65;0.55;
2022-01-02 17:00:00;0.0;0.0;0.0;1.78;95.65;0.55;
2022-01-02 18:00:00;0.0;0.0;0.0;1.74;95.65;0.28;
2022-01-02 19:00:00;0.0;0.0;0.0;1.68;95.65;0.48;
2022-01-02 20:00:00;0.0;0.0;0.0;1.46;99.4;0.41;
2022-01-02 21:00:00;0.0;0.0;0.0;1.28;95.65;0.14;
2022-01-02 22:00:00;0.0;0.0;0.0;1.17;95.65;0.07;
2022-01-02 23:00:00;0.0;0.0;0.0;1.26;95.65;0.07;
2022-01-03 00:00:00;0.0;0.0;0.0;1.31;95.65;0.07;
