Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;7.09;82.5;2.07;
2022-01-01 01:00:00;0.0;0.0;0.0;6.71;81.48;1.9;
2022-01-01 02:00:00;0.0;0.0;0.0;6.33;80.46;1.72;
2022-01-01 03:00:00;0.0;0.0;0.0;5.95;79.44;1.54;
2022-01-01 04:00:00;0.0;0.0;0.0;5.57;78.42;1.36;
2022-01-01 05:00:00;0.0;0.0;0.0;5.19;77.4;1.18;
2022-01-01 06:00:00;0.0;0.0;0.0;4.82;76.38;1.0;
2022-01-01 07:00:00;0.0;0.0;0.0;4.44;75.36;0.83;
2022-01-01 08:00:00;125.0;540.61;42.0;2.8;82.15;1.45;
2022-01-01 09:00:00;251.0;713.88;60.0;5.47;79.4;0.9;
2022-01-01 10:00:00;343.0;800.82;67.0;8.65;79.75;0.34;
2022-01-01 11:00:00;386.0;835.18;69.0;10.6;66.55;0.07;
2022-01-01 12:00:00;370.0;805.6;72.0;11.27;64.25;0.28;
2022-01-01 13:00:00;307.0;761.79;66.0;11.7;62.0;0.48;
2022-01-01 14:00:00;199.0;656.02;53.0;11.46;64.35;0.69;
2022-01-01 15:00:00;65.0;411.01;26.0;10.75;80.05;0.62;
2022-01-01 16:00:00;0.0;0.0;0.0;10.21;74.3;0.21;
2022-01-01 17:00:00;0.0;0.0;0.0;9.45;74.2;0.41;
2022-01-01 18:00:00;0.0;0.0;0.0;8.78;76.85;0.83;
2022-01-01 19:00:00;0.0;0.0;0.0;7.11;71.15;1.1;
2022-01-01 20:00:00;0.0;0.0;0.0;5.67;76.5;1.38;
2022-01-01 21:00:00;0.0;0.0;0.0;4.01;79.2;1.59;
2022-01-01 22:00:00;0.0;0.0;0.0;2.62;82.15;1.79;
2022-01-01 23:00:00;0.0;0.0;0.0;1.47;85.25;1.93;
2022-01-02 00:00:00;0.0;0.0;0.0;1.25;88.55;2.07;
2022-01-02 01:00:00;0.0;0.0;0.0;1.54;88.6;2.28;
2022-01-02 02:00:00;0.0;0.0;0.0;1.6;88.6;2.34;
2022-01-02 03:00:00;0.0;0.0;0.0;1.53;85.25;2.34;
2022-01-02 04:00:00;0.0;0.0;0.0;1.73;85.25;2.34;
2022-01-02 05:00:00;0.0;0.0;0.0;1.98;78.95;2.34;
2022-01-02 06:00:00;0.0;0.0;0.0;1.93;78.95;2.34;
2022-01-02 07:00:00;0.0;0.0;0.0;2.38;70.3;2.48;
2022-01-02 08:00:00;119.0;461.64;48.0;2.71;73.1;2.41;
2022-01-02 09:00:00;236.0;574.32;82.0;4.4;70.7;2.07;
2022-01-02 10:00:00;333.0;729.2;81.0;6.8;68.4;1.79;
2022-01-02 11:00:00;388.0;842.86;67.0;8.66;66.15;1.45;
2022-01-02 12:00:00;387.0;901.69;52.0;9.43;63.9;1.17;
2022-01-02 13:00:00;307.0;760.4;65.0;9.78;63.9;0.76;
2022-01-02 14:00:00;200.0;654.29;53.0;9.65;66.35;0.41;
2022-01-02 15:00:00;64.0;360.28;29.0;9.01;71.4;0.62;
2022-01-02 16:00:00;0.0;0.0;0.0;7.97;73.95;0.41;
2022-01-02 17:00:00;0.0;0.0;0.0;7.45;71.25;0.14;
2022-01-02 18:00:00;0.0;0.0;0.0;7.09;73.9;0.48;
2022-01-02 19:00:00;0.0;0.0;0.0;6.95;68.5;0.69;
2022-01-02 20:00:00;0.0;0.0;0.0;6.66;73.8;0.76;
2022-01-02 21:00:00;0.0;0.0;0.0;5.81;79.4;0.83;
2022-01-02 22:00:00;0.0;0.0;0.0;4.93;79.35;1.1;
2022-01-02 23:00:00;0.0;0.0;0.0;4.7;82.35;1.1;
2022-01-03 00:00:00;0.0;0.0;0.0;4.58;82.35;1.03;
2022-01-03 01:00:00;0.0;0.0;0.0;4.14;82.3;1.1;
2022-01-03 02:00:00;0.0;0.0;0.0;3.94;82.3;1.17;
2022-01-03 03:00:00;0.0;0.0;0.0;4.16;82.3;1.17;
2022-01-03 04:00:00;0.0;0.0;0.0;4.58;82.35;1.03;
2022-01-03 05:00:00;0.0;0.0;0.0;4.72;85.55;1.1;
2022-01-03 06:00:00;0.0;0.0;0.0;4.53;88.85;1.24;
2022-01-03 07:00:00;0.0;0.0;0.0;4.69;88.85;1.17;
2022-01-03 08:00:00;27.0;0.0;27.0;4.47;88.85;1.38;
2022-01-03 09:00:00;33.0;0.0;33.0;5.7;92.3;1.24;
2022-01-03 10:00:00;214.0;138.47;166.0;7.56;89.05;1.59;
2022-01-03 11:00:00;228.0;112.49;185.0;8.55;82.75;2.14;
2022-01-03 12:00:00;126.0;2.68;125.0;8.86;82.75;2.21;
2022-01-03 13:00:00;54.0;0.0;54.0;8.86;82.75;2.34;
2022-01-03 14:00:00;47.0;0.0;47.0;8.59;82.75;2.34;
2022-01-03 15:00:00;29.0;10.05;28.0;8.23;85.85;2.07;
2022-01-03 16:00:00;0.0;0.0;0.0;7.39;89.0;2.0;
2022-01-03 17:00:00;0.0;0.0;0.0;7.22;92.35;1.93;
2022-01-03 18:00:00;0.0;0.0;0.0;7.04;89.0;1.93;
2022-01-03 19:00:00;0.0;0.0;0.0;6.55;92.35;1.66;
2022-01-03 20:00:00;0.0;0.0;0.0;6.28;95.8;1.45;
2022-01-03 21:00:00;0.0;0.0;0.0;6.32;95.8;1.31;
2022-01-03 22:00:00;0.0;0.0;0.0;6.43;92.35;1.38;
2022-01-03 23:00:00;0.0;0.0;0.0;6.63;92.35;1.45;
2022-01-04 00:00:00;0.0;0.0;0.0;6.65;92.35;1.38;
2022-01-04 01:00:00;0.0;0.0;0.0;6.7;92.35;1.45;
2022-01-04 02:00:00;0.0;0.0;0.0;6.51;92.35;1.59;
2022-01-04 03:00:00;0.0;0.0;0.0;6.2;95.8;1.59;
2022-01-04 04:00:00;0.0;0.0;0.0;5.92;92.3;1.72;
2022-01-04 05:00:00;0.0;0.0;0.0;5.19;95.75;1.86;
2022-01-04 06:00:00;0.0;0.0;0.0;4.56;95.75;2.07;
2022-01-04 07:00:00;0.0;0.0;0.0;3.77;92.15;2.07;
2022-01-04 08:00:00;126.0;549.48;41.0;4.43;82.35;1.86;
2022-01-04 09:00:00;250.0;689.69;64.0;6.46;73.8;1.52;
2022-01-04 10:00:00;312.0;575.01;112.0;9.03;66.25;1.24;
2022-01-04 11:00:00;388.0;828.61;70.0;10.52;55.15;1.38;
2022-01-04 12:00:00;371.0;786.46;76.0;11.33;53.25;1.45;
2022-01-04 13:00:00;307.0;732.06;71.0;11.72;51.35;1.45;
2022-01-04 14:00:00;203.0;641.33;56.0;11.52;53.35;1.45;
2022-01-04 15:00:00;69.0;372.75;31.0;10.64;61.75;1.45;
2022-01-04 16:00:00;0.0;0.0;0.0;9.18;68.8;1.45;
2022-01-04 17:00:00;0.0;0.0;0.0;7.47;73.95;1.52;
2022-01-04 18:00:00;0.0;0.0;0.0;6.29;76.55;1.59;
2022-01-04 19:00:00;0.0;0.0;0.0;8.94;68.8;0.76;
2022-01-04 20:00:00;0.0;0.0;0.0;6.95;73.9;1.45;
2022-01-04 21:00:00;0.0;0.0;0.0;5.96;76.55;1.38;
2022-01-04 22:00:00;0.0;0.0;0.0;5.1;79.35;1.52;
2022-01-04 23:00:00;0.0;0.0;0.0;3.89;79.2;1.79;
2022-01-05 00:00:00;0.0;0.0;0.0;3.5;79.15;2.0;
2022-01-05 01:00:00;0.0;0.0;0.0;3.54;79.15;2.28;
2022-01-05 02:00:00;0.0;0.0;0.0;4.62;70.7;2.83;
2022-01-05 03:00:00;0.0;0.0;0.0;4.64;68.0;3.1;
2022-01-05 04:00:00;0.0;0.0;0.0;4.51;65.4;3.31;
2022-01-05 05:00:00;0.0;0.0;0.0;4.23;65.3;3.38;
