Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;0.3;86.14;1.12;
2022-01-01 01:00:00;0.0;0.0;0.0;-0.45;87.1;1.19;
2022-01-01 02:00:00;0.0;0.0;0.0;-1.21;88.06;1.25;
2022-01-01 03:00:00;0.0;0.0;0.0;-1.96;89.02;1.32;
2022-01-01 04:00:00;0.0;0.0;0.0;-2.71;89.98;1.38;
2022-01-01 05:00:00;0.0;0.0;0.0;-3.46;90.93;1.45;
2022-01-01 06:00:00;0.0;0.0;0.0;-4.22;91.89;1.51;
2022-01-01 07:00:00;0.0;0.0;0.0;-4.97;92.85;1.58;
2022-01-01 08:00:00;118.0;540.06;40.0;-2.14;88.3;1.1;
2022-01-01 09:00:00;244.0;748.83;53.0;0.73;85.2;0.55;
2022-01-01 10:00:00;333.0;835.22;58.0;4.03;67.9;0.07;
2022-01-01 11:00:00;372.0;856.47;62.0;5.43;56.05;0.41;
2022-01-01 12:00:00;360.0;860.6;58.0;6.07;58.45;0.69;
2022-01-01 13:00:00;290.0;781.38;58.0;6.31;58.55;0.69;
2022-01-01 14:00:00;183.0;667.94;47.0;6.07;65.65;0.62;
2022-01-01 15:00:00;45.0;258.48;25.0;5.12;76.3;0.48;
2022-01-01 16:00:00;0.0;0.0;0.0;4.16;70.6;0.69;
2022-01-01 17:00:00;0.0;0.0;0.0;2.62;73.1;1.31;
2022-01-01 18:00:00;0.0;0.0;0.0;0.29;78.75;1.52;
2022-01-01 19:00:00;0.0;0.0;0.0;-1.73;91.9;1.52;
2022-01-01 20:00:00;0.0;0.0;0.0;-2.31;91.85;1.59;
2022-01-01 21:00:00;0.0;0.0;0.0;-2.56;91.85;1.59;
2022-01-01 22:00:00;0.0;0.0;0.0;-2.33;91.85;1.52;
2022-01-01 23:00:00;0.0;0.0;0.0;-2.66;91.85;1.59;
2022-01-02 00:00:00;0.0;0.0;0.0;-2.63;91.85;1.59;
2022-01-02 01:00:00;0.0;0.0;0.0;-2.69;91.85;1.59;
2022-01-02 02:00:00;0.0;0.0;0.0;-2.31;88.3;1.66;
2022-01-02 03:00:00;0.0;0.0;0.0;-2.17;88.3;1.59;
2022-01-02 04:00:00;0.0;0.0;0.0;-2.07;88.3;1.59;
2022-01-02 05:00:00;0.0;0.0;0.0;-2.16;84.85;1.59;
2022-01-02 06:00:00;0.0;0.0;0.0;-2.16;84.85;1.52;
2022-01-02 07:00:00;0.0;0.0;0.0;-2.38;91.85;1.66;
2022-01-02 08:00:00;126.0;677.07;28.0;-1.57;88.35;1.45;
2022-01-02 09:00:00;241.0;731.35;54.0;1.6;82.0;0.9;
2022-01-02 10:00:00;326.0;793.4;64.0;4.91;70.7;0.34;
2022-01-02 11:00:00;283.0;333.09;162.0;6.71;58.55;0.41;
2022-01-02 12:00:00;338.0;706.29;89.0;7.14;58.65;0.76;
2022-01-02 13:00:00;229.0;338.0;128.0;6.89;63.35;0.62;
2022-01-02 14:00:00;149.0;325.67;82.0;6.44;68.3;0.48;
2022-01-02 15:00:00;28.0;37.67;25.0;5.53;79.35;0.69;
2022-01-02 16:00:00;0.0;0.0;0.0;3.69;79.15;1.17;
2022-01-02 17:00:00;0.0;0.0;0.0;1.94;82.05;1.45;
2022-01-02 18:00:00;0.0;0.0;0.0;0.88;85.2;1.38;
2022-01-02 19:00:00;0.0;0.0;0.0;0.61;88.5;1.59;
2022-01-02 20:00:00;0.0;0.0;0.0;-0.12;88.45;1.66;
2022-01-02 21:00:00;0.0;0.0;0.0;-0.5;88.45;1.66;
2022-01-02 22:00:00;0.0;0.0;0.0;-0.34;88.45;1.45;
2022-01-02 23:00:00;0.0;0.0;0.0;-0.33;85.05;1.45;
2022-01-03 00:00:00;0.0;0.0;0.0;-0.96;85.0;1.59;
2022-01-03 01:00:00;0.0;0.0;0.0;-1.86;88.3;1.66;
2022-01-03 02:00:00;0.0;0.0;0.0;-2.13;88.3;1.66;
2022-01-03 03:00:00;0.0;0.0;0.0;-1.69;84.95;1.52;
2022-01-03 04:00:00;0.0;0.0;0.0;-1.33;81.7;1.45;
2022-01-03 05:00:00;0.0;0.0;0.0;-1.6;81.65;1.45;
2022-01-03 06:00:00;0.0;0.0;0.0;-1.82;81.65;1.52;
2022-01-03 07:00:00;0.0;0.0;0.0;-1.71;78.45;1.79;
2022-01-03 08:00:00;118.0;551.07;38.0;-0.91;81.7;1.66;
2022-01-03 09:00:00;241.0;729.21;54.0;1.65;78.9;1.31;
2022-01-03 10:00:00;330.0;814.93;60.0;5.21;68.1;0.76;
2022-01-03 11:00:00;371.0;850.03;61.0;6.5;58.55;0.48;
2022-01-03 12:00:00;362.0;863.68;56.0;6.66;68.3;0.34;
2022-01-03 13:00:00;293.0;787.81;56.0;6.39;70.95;0.48;
2022-01-03 14:00:00;184.0;653.99;48.0;6.15;76.5;0.69;
2022-01-03 15:00:00;48.0;268.36;26.0;5.03;85.55;0.97;
2022-01-03 16:00:00;0.0;0.0;0.0;3.8;82.3;1.1;
2022-01-03 17:00:00;0.0;0.0;0.0;1.71;85.3;1.52;
2022-01-03 18:00:00;0.0;0.0;0.0;0.31;88.5;1.72;
2022-01-03 19:00:00;0.0;0.0;0.0;0.67;88.5;1.72;
2022-01-03 20:00:00;0.0;0.0;0.0;-0.5;91.95;1.93;
2022-01-03 21:00:00;0.0;0.0;0.0;-1.65;91.9;2.0;
2022-01-03 22:00:00;0.0;0.0;0.0;-2.58;95.55;1.86;
2022-01-03 23:00:00;0.0;0.0;0.0;-3.07;95.55;1.72;
2022-01-04 00:00:00;0.0;0.0;0.0;-3.36;91.8;1.66;
2022-01-04 01:00:00;0.0;0.0;0.0;-3.58;95.5;1.59;
2022-01-04 02:00:00;0.0;0.0;0.0;-3.63;95.5;1.59;
2022-01-04 03:00:00;0.0;0.0;0.0;-3.7;91.8;1.59;
2022-01-04 04:00:00;0.0;0.0;0.0;-3.52;91.8;1.59;
2022-01-04 05:00:00;0.0;0.0;0.0;-3.32;91.8;1.59;
2022-01-04 06:00:00;0.0;0.0;0.0;-3.2;88.25;1.72;
2022-01-04 07:00:00;0.0;0.0;0.0;-3.02;84.8;1.79;
2022-01-04 08:00:00;116.0;521.54;40.0;-1.96;84.85;1.72;
2022-01-04 09:00:00;244.0;750.05;51.0;1.45;72.95;1.52;
2022-01-04 10:00:00;334.0;836.01;56.0;5.24;63.05;1.66;
2022-01-04 11:00:00;370.0;838.23;63.0;7.02;58.65;2.0;
2022-01-04 12:00:00;369.0;898.47;49.0;7.9;61.2;2.55;
2022-01-04 13:00:00;288.0;732.76;66.0;8.4;61.3;2.76;
2022-01-04 14:00:00;189.0;689.55;44.0;8.39;63.7;2.62;
2022-01-04 15:00:00;51.0;284.27;27.0;7.25;68.5;2.55;
2022-01-04 16:00:00;0.0;0.0;0.0;4.97;79.3;2.62;
2022-01-04 17:00:00;0.0;0.0;0.0;3.06;79.1;2.62;
2022-01-04 18:00:00;0.0;0.0;0.0;1.92;75.95;2.83;
2022-01-04 19:00:00;0.0;0.0;0.0;1.31;72.95;2.97;
2022-01-04 20:00:00;0.0;0.0;0.0;1.49;64.8;3.45;
2022-01-04 21:00:00;0.0;0.0;0.0;2.6;51.15;4.07;
2022-01-04 22:00:00;0.0;0.0;0.0;3.69;42.0;4.28;
2022-01-04 23:00:00;0.0;0.0;0.0;3.78;38.85;3.93;
2022-01-05 00:00:00;0.0;0.0;0.0;3.24;42.0;3.79;
2022-01-05 01:00:00;0.0;0.0;0.0;2.6;49.15;3.72;
2022-01-05 02:00:00;0.0;0.0;0.0;1.98;51.0;3.59;
2022-01-05 03:00:00;0.0;0.0;0.0;1.56;53.0;3.52;
2022-01-05 04:00:00;0.0;0.0;0.0;1.57;53.0;3.59;
2022-01-05 05:00:00;0.0;0.0;0.0;1.77;51.0;3.52;
2022-01-05 06:00:00;0.0;0.0;0.0;1.27;53.0;3.31;
2022-01-05 07:00:00;0.0;0.0;0.0;2.15;38.25;3.79;
2022-01-05 08:00:00;128.0;655.78;32.0;2.58;38.4;3.86;
2022-01-05 09:00:00;252.0;770.4;53.0;4.15;34.3;4.07;
2022-01-05 10:00:00;341.0;832.67;63.0;5.29;31.85;3.79;
2022-01-05 11:00:00;377.0;823.55;74.0;5.82;29.45;4.07;
2022-01-05 12:00:00;365.0;815.32;73.0;5.99;29.45;3.66;
2022-01-05 13:00:00;245.0;373.52;131.0;6.02;29.45;3.1;
2022-01-05 14:00:00;168.0;413.71;80.0;5.85;30.7;2.41;
2022-01-05 15:00:00;48.0;183.98;32.0;4.73;37.4;1.79;
2022-01-05 16:00:00;0.0;0.0;0.0;1.72;43.3;2.14;
2022-01-05 17:00:00;0.0;0.0;0.0;-1.02;44.3;2.55;
2022-01-05 18:00:00;0.0;0.0;0.0;-2.28;44.0;2.69;
2022-01-05 19:00:00;0.0;0.0;0.0;-2.27;35.55;2.83;
2022-01-05 20:00:00;0.0;0.0;0.0;-2.69;36.95;2.83;
2022-01-05 21:00:00;0.0;0.0;0.0;-3.12;36.8;2.69;
2022-01-05 22:00:00;0.0;0.0;0.0;-3.58;38.3;2.62;
2022-01-05 23:00:00;0.0;0.0;0.0;-3.96;41.6;2.55;
2022-01-06 00:00:00;0.0;0.0;0.0;-4.26;41.6;2.62;
2022-01-06 01:00:00;0.0;0.0;0.0;-4.48;43.3;2.55;
2022-01-06 02:00:00;0.0;0.0;0.0;-4.7;45.2;2.48;
2022-01-06 03:00:00;0.0;0.0;0.0;-4.94;47.05;2.34;
2022-01-06 04:00:00;0.0;0.0;0.0;-5.03;47.05;2.21;
2022-01-06 05:00:00;0.0;0.0;0.0;-4.91;49.1;2.0;
2022-01-06 06:00:00;0.0;0.0;0.0;-4.43;47.2;1.72;
2022-01-06 07:00:00;0.0;0.0;0.0;-4.56;39.7;2.28;
2022-01-06 08:00:00;126.0;604.72;37.0;-3.27;40.15;1.86;
2022-01-06 09:00:00;251.0;747.82;57.0;-0.72;42.6;1.38;
2022-01-06 10:00:00;340.0;805.19;70.0;2.15;32.35;1.38;
2022-01-06 11:00:00;378.0;811.45;78.0;2.63;29.85;1.86;
2022-01-06 12:00:00;369.0;821.68;73.0;2.66;31.15;2.0;
2022-01-06 13:00:00;302.0;751.1;71.0;2.53;32.5;1.86;
2022-01-06 14:00:00;195.0;655.08;54.0;2.14;36.7;1.79;
