Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;-0.27;84.32;1.59;
2022-01-01 01:00:00;0.0;0.0;0.0;-0.17;84.75;1.46;
2022-01-01 02:00:00;0.0;0.0;0.0;-0.07;85.19;1.34;
2022-01-01 03:00:00;0.0;0.0;0.0;0.03;85.63;1.22;
2022-01-01 04:00:00;0.0;0.0;0.0;0.14;86.07;1.1;
2022-01-01 05:00:00;0.0;0.0;0.0;0.24;86.5;0.98;
2022-01-01 06:00:00;0.0;0.0;0.0;0.34;86.94;0.86;
2022-01-01 07:00:00;0.0;0.0;0.0;0.44;87.38;0.74;
2022-01-01 08:00:00;110.0;473.06;43.0;-0.4;91.95;0.62;
2022-01-01 09:00:00;237.0;707.95;57.0;1.88;88.65;0.48;
2022-01-01 10:00:00;329.0;807.69;62.0;5.05;79.35;0.28;
2022-01-01 11:00:00;370.0;832.0;66.0;7.3;73.9;0.55;
2022-01-01 12:00:00;361.0;836.34;63.0;8.83;71.35;1.03;
2022-01-01 13:00:00;298.0;792.81;57.0;9.51;66.35;1.66;
2022-01-01 14:00:00;188.0;651.09;50.0;9.41;68.8;1.93;
2022-01-01 15:00:00;57.0;369.95;25.0;8.38;76.8;1.86;
2022-01-01 16:00:00;0.0;0.0;0.0;6.38;82.55;2.34;
2022-01-01 17:00:00;0.0;0.0;0.0;4.73;88.85;2.28;
2022-01-01 18:00:00;0.0;0.0;0.0;3.58;88.75;2.34;
2022-01-01 19:00:00;0.0;0.0;0.0;3.05;92.15;2.0;
2022-01-01 20:00:00;0.0;0.0;0.0;2.15;92.1;2.41;
2022-01-01 21:00:00;0.0;0.0;0.0;1.45;92.05;2.28;
2022-01-01 22:00:00;0.0;0.0;0.0;0.81;95.65;2.14;
2022-01-01 23:00:00;0.0;0.0;0.0;0.13;95.6;1.86;
2022-01-02 00:00:00;0.0;0.0;0.0;-0.03;95.6;1.59;
2022-01-02 01:00:00;0.0;0.0;0.0;-0.48;99.4;1.38;
2022-01-02 02:00:00;0.0;0.0;0.0;-1.27;99.4;1.03;
2022-01-02 03:00:00;0.0;0.0;0.0;-1.52;99.4;0.62;
2022-01-02 04:00:00;0.0;0.0;0.0;-1.88;99.4;0.97;
2022-01-02 05:00:00;0.0;0.0;0.0;-1.83;99.4;0.76;
2022-01-02 06:00:00;0.0;0.0;0.0;-1.77;99.4;0.55;
2022-01-02 07:00:00;0.0;0.0;0.0;-0.62;95.6;1.38;
2022-01-02 08:00:00;111.0;486.18;42.0;-0.5;99.4;1.45;
2022-01-02 09:00:00;233.0;670.95;62.0;0.76;99.4;1.59;
2022-01-02 10:00:00;326.0;787.28;65.0;2.14;95.65;1.59;
2022-01-02 11:00:00;367.0;812.71;69.0;3.3;92.15;1.38;
2022-01-02 12:00:00;358.0;818.6;65.0;4.71;88.85;1.1;
2022-01-02 13:00:00;298.0;784.63;58.0;5.9;82.55;0.9;
2022-01-02 14:00:00;188.0;635.33;52.0;6.47;79.55;0.9;
