Unnamed: 0;Demand;Import limit;Export limit;Import price;Export price;Import emission factor;Export emission factor;Generic production
2022-01-01 00:00:00;;200.0;;41.19;;0.1108;;
2022-01-01 01:00:00;;200.0;;40.0;;0.1108;;
2022-01-01 02:00:00;;200.0;;38.46;;0.1108;;
2022-01-01 03:00:00;;200.0;;32.95;;0.1108;;
2022-01-01 04:00:00;;200.0;;32.69;;0.1108;;
2022-01-01 05:00:00;;200.0;;32.9;;0.1108;;
2022-01-01 06:00:00;;200.0;;36.57;;0.1108;;
2022-01-01 07:00:00;;200.0;;40.03;;0.1108;;
2022-01-01 08:00:00;;200.0;;41.13;;0.1108;;
2022-01-01 09:00:00;;200.0;;41.18;;0.1108;;
2022-01-01 10:00:00;;200.0;;40.0;;0.1108;;
2022-01-01 11:00:00;;200.0;;37.74;;0.1108;;
2022-01-01 12:00:00;;200.0;;39.06;;0.1108;;
2022-01-01 13:00:00;;200.0;;37.75;;0.1108;;
2022-01-01 14:00:00;;200.0;;37.76;;0.1108;;
2022-01-01 15:00:00;;200.0;;40.59;;0.1108;;
2022-01-01 16:00:00;;200.0;;42.31;;0.1108;;
2022-01-01 17:00:00;;200.0;;46.17;;0.1108;;
2022-01-01 18:00:00;;200.0;;50.58;;0.1108;;
2022-01-01 19:00:00;;200.0;;50.77;;0.1108;;
2022-01-01 20:00:00;;200.0;;49.13;;0.1108;;
2022-01-01 21:00:00;;200.0;;43.65;;0.1108;;
2022-01-01 22:00:00;;200.0;;41.99;;0.1108;;
2022-01-01 23:00:00;;200.0;;41.23;;0.1108;;
2022-01-02 00:00:00;;200.0;;40.57;;0.1108;;
2022-01-02 01:00:00;;200.0;;34.65;;0.1108;;
2022-01-02 02:00:00;;200.0;;32.41;;0.1108;;
2022-01-02 03:00:00;;200.0;;32.41;;0.1108;;
2022-01-02 04:00:00;;200.0;;32.41;;0.1108;;
2022-01-02 05:00:00;;200.0;;38.46;;0.1108;;
2022-01-02 06:00:00;;200.0;;41.65;;0.1108;;
2022-01-02 07:00:00;;200.0;;43.79;;0.1108;;
2022-01-02 08:00:00;;200.0;;48.81;;0.1108;;
2022-01-02 09:00:00;;200.0;;45.96;;0.1108;;
2022-01-02 10:00:00;;200.0;;42.54;;0.1108;;
2022-01-02 11:00:00;;200.0;;41.65;;0.1108;;
2022-01-02 12:00:00;;200.0;;40.72;;0.1108;;
2022-01-02 13:00:00;;200.0;;38.52;;0.1108;;
2022-01-02 14:00:00;;200.0;;41.65;;0.1108;;
2022-01-02 15:00:00;;200.0;;42.31;;0.1108;;
2022-01-02 16:00:00;;200.0;;43.38;;0.1108;;
2022-01-02 17:00:00;;200.0;;50.0;;0.1108;;
2022-01-02 18:00:00;;200.0;;50.0;;0.1108;;
2022-01-02 19:00:00;;200.0;;47.8;;0.1108;;
2022-01-02 20:00:00;;200.0;;42.79;;0.1108;;
2022-01-02 21:00:00;;200.0;;41.65;;0.1108;;
2022-01-02 22:00:00;;200.0;;40.77;;0.1108;;
2022-01-02 23:00:00;;200.0;;35.54;;0.1108;;
2022-01-03 00:00:00;;200.0;;31.73;;0.1108;;
2022-01-03 01:00:00;;200.0;;26.96;;0.1108;;
2022-01-03 02:00:00;;200.0;;19.31;;0.1108;;
2022-01-03 03:00:00;;200.0;;15.38;;0.1108;;
2022-01-03 04:00:00;;200.0;;19.23;;0.1108;;
2022-01-03 05:00:00;;200.0;;28.85;;0.1108;;
2022-01-03 06:00:00;;200.0;;36.72;;0.1108;;
2022-01-03 07:00:00;;200.0;;41.65;;0.1108;;
2022-01-03 08:00:00;;200.0;;44.43;;0.1108;;
2022-01-03 09:00:00;;200.0;;44.23;;0.1108;;
2022-01-03 10:00:00;;200.0;;42.04;;0.1108;;
2022-01-03 11:00:00;;200.0;;41.54;;0.1108;;
2022-01-03 12:00:00;;200.0;;36.52;;0.1108;;
2022-01-03 13:00:00;;200.0;;35.54;;0.1108;;
2022-01-03 14:00:00;;200.0;;37.53;;0.1108;;
2022-01-03 15:00:00;;200.0;;41.08;;0.1108;;
2022-01-03 16:00:00;;200.0;;42.31;;0.1108;;
2022-01-03 17:00:00;;200.0;;44.54;;0.1108;;
2022-01-03 18:00:00;;200.0;;44.54;;0.1108;;
2022-01-03 19:00:00;;200.0;;44.54;;0.1108;;
2022-01-03 20:00:00;;200.0;;41.92;;0.1108;;
2022-01-03 21:00:00;;200.0;;40.77;;0.1108;;
2022-01-03 22:00:00;;200.0;;39.02;;0.1108;;
2022-01-03 23:00:00;;200.0;;31.77;;0.1108;;
2022-01-04 00:00:00;;200.0;;28.53;;0.1108;;
2022-01-04 01:00:00;;200.0;;25.0;;0.1108;;
2022-01-04 02:00:00;;200.0;;15.38;;0.1108;;
2022-01-04 03:00:00;;200.0;;13.54;;0.1108;;
2022-01-04 04:00:00;;200.0;;19.0;;0.1108;;
2022-01-04 05:00:00;;200.0;;26.96;;0.1108;;
2022-01-04 06:00:00;;200.0;;37.54;;0.1108;;
2022-01-04 07:00:00;;200.0;;40.97;;0.1108;;
2022-01-04 08:00:00;;200.0;;42.31;;0.1108;;
2022-01-04 09:00:00;;200.0;;41.68;;0.1108;;
2022-01-04 10:00:00;;200.0;;37.63;;0.1108;;
2022-01-04 11:00:00;;200.0;;34.6;;0.1108;;
2022-01-04 12:00:00;;200.0;;33.16;;0.1108;;
2022-01-04 13:00:00;;200.0;;33.06;;0.1108;;
2022-01-04 14:00:00;;200.0;;35.43;;0.1108;;
2022-01-04 15:00:00;;200.0;;39.75;;0.1108;;
2022-01-04 16:00:00;;200.0;;42.32;;0.1108;;
2022-01-04 17:00:00;;200.0;;44.95;;0.1108;;
2022-01-04 18:00:00;;200.0;;45.42;;0.1108;;
2022-01-04 19:00:00;;200.0;;45.42;;0.1108;;
2022-01-04 20:00:00;;200.0;;43.46;;0.1108;;
2022-01-04 21:00:00;;200.0;;41.17;;0.1108;;
2022-01-04 22:00:00;;200.0;;40.61;;0.1108;;
2022-01-04 23:00:00;;200.0;;37.68;;0.1108;;
2022-01-05 00:00:00;;200.0;;33.11;;0.1108;;
2022-01-05 01:00:00;;200.0;;34.22;;0.1108;;
2022-01-05 02:00:00;;200.0;;30.19;;0.1108;;
2022-01-05 03:00:00;;200.0;;30.19;;0.1108;;
2022-01-05 04:00:00;;200.0;;30.53;;0.1108;;
2022-01-05 05:00:00;;200.0;;30.62;;0.1108;;
2022-01-05 06:00:00;;200.0;;39.79;;0.1108;;
2022-01-05 07:00:00;;200.0;;42.77;;0.1108;;
2022-01-05 08:00:00;;200.0;;44.23;;0.1108;;
2022-01-05 09:00:00;;200.0;;46.31;;0.1108;;
2022-01-05 10:00:00;;200.0;;44.12;;0.1108;;
2022-01-05 11:00:00;;200.0;;43.42;;0.1108;;
2022-01-05 12:00:00;;200.0;;43.26;;0.1108;;
2022-01-05 13:00:00;;200.0;;42.59;;0.1108;;
2022-01-05 14:00:00;;200.0;;43.08;;0.1108;;
