Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;-1.26;65.82;0.61;
2022-01-01 01:00:00;0.0;0.0;0.0;-1.76;67.61;0.64;
2022-01-01 02:00:00;0.0;0.0;0.0;-2.25;69.41;0.67;
2022-01-01 03:00:00;0.0;0.0;0.0;-2.74;71.2;0.71;
2022-01-01 04:00:00;0.0;0.0;0.0;-3.23;72.99;0.74;
2022-01-01 05:00:00;0.0;0.0;0.0;-3.72;74.79;0.77;
2022-01-01 06:00:00;0.0;0.0;0.0;-4.21;76.58;0.8;
2022-01-01 07:00:00;0.0;0.0;0.0;-4.7;78.38;0.84;
2022-01-01 08:00:00;124.0;606.84;33.0;-2.77;72.1;0.83;
2022-01-01 09:00:00;243.0;792.3;41.0;-0.43;67.0;0.55;
2022-01-01 10:00:00;322.0;850.69;47.0;2.62;62.5;0.55;
2022-01-01 11:00:00;273.0;351.19;150.0;4.71;60.5;0.62;
2022-01-01 12:00:00;165.0;47.9;149.0;6.31;54.15;0.62;
2022-01-01 13:00:00;206.0;333.65;114.0;6.95;52.2;0.48;
2022-01-01 14:00:00;112.0;206.3;75.0;6.88;54.3;0.34;
2022-01-01 15:00:00;14.0;0.0;14.0;6.43;56.45;0.34;
2022-01-01 16:00:00;0.0;0.0;0.0;5.54;60.75;0.41;
2022-01-01 17:00:00;0.0;0.0;0.0;4.54;62.95;0.48;
2022-01-01 18:00:00;0.0;0.0;0.0;3.49;67.8;0.48;
2022-01-01 19:00:00;0.0;0.0;0.0;1.47;75.85;0.48;
2022-01-01 20:00:00;0.0;0.0;0.0;0.02;81.8;0.48;
2022-01-01 21:00:00;0.0;0.0;0.0;-1.37;88.35;0.48;
2022-01-01 22:00:00;0.0;0.0;0.0;-2.55;88.25;0.48;
2022-01-01 23:00:00;0.0;0.0;0.0;-3.56;91.8;0.48;
2022-01-02 00:00:00;0.0;0.0;0.0;-4.44;88.15;0.48;
2022-01-02 01:00:00;0.0;0.0;0.0;-5.27;88.05;0.48;
2022-01-02 02:00:00;0.0;0.0;0.0;-5.29;84.55;0.55;
2022-01-02 03:00:00;0.0;0.0;0.0;-5.89;88.0;0.48;
2022-01-02 04:00:00;0.0;0.0;0.0;-6.12;88.0;0.48;
2022-01-02 05:00:00;0.0;0.0;0.0;-6.14;84.5;0.48;
2022-01-02 06:00:00;0.0;0.0;0.0;-5.99;88.0;0.41;
