Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;-0.75;90.63;1.7;
2022-01-01 01:00:00;0.0;0.0;0.0;-0.76;91.94;1.61;
2022-01-01 02:00:00;0.0;0.0;0.0;-0.78;93.25;1.53;
2022-01-01 03:00:00;0.0;0.0;0.0;-0.79;94.56;1.44;
2022-01-01 04:00:00;0.0;0.0;0.0;-0.81;95.87;1.35;
2022-01-01 05:00:00;0.0;0.0;0.0;-0.82;97.19;1.26;
2022-01-01 06:00:00;0.0;0.0;0.0;-0.83;98.5;1.17;
2022-01-01 07:00:00;0.0;0.0;0.0;-0.85;99.81;1.08;
2022-01-01 08:00:00;116.0;467.28;46.0;0.02;92.0;1.24;
2022-01-01 09:00:00;133.0;64.96;116.0;1.96;95.65;0.55;
2022-01-01 10:00:00;93.0;0.0;93.0;3.16;88.7;0.34;
2022-01-01 11:00:00;32.0;0.0;32.0;3.92;88.75;0.41;
2022-01-01 12:00:00;108.0;0.0;108.0;4.19;85.5;0.34;
2022-01-01 13:00:00;46.0;0.0;46.0;4.71;85.55;0.41;
2022-01-01 14:00:00;72.0;9.46;70.0;5.05;85.6;0.28;
2022-01-01 15:00:00;33.0;47.49;29.0;4.65;92.25;0.55;
2022-01-01 16:00:00;0.0;0.0;0.0;4.5;92.2;0.48;
2022-01-01 17:00:00;0.0;0.0;0.0;4.57;85.55;0.34;
2022-01-01 18:00:00;0.0;0.0;0.0;4.4;88.8;0.41;
2022-01-01 19:00:00;0.0;0.0;0.0;3.98;99.4;1.1;
2022-01-01 20:00:00;0.0;0.0;0.0;4.09;95.75;1.03;
2022-01-01 21:00:00;0.0;0.0;0.0;4.02;99.4;0.97;
2022-01-01 22:00:00;0.0;0.0;0.0;3.93;99.4;0.9;
2022-01-01 23:00:00;0.0;0.0;0.0;3.87;99.4;0.9;
2022-01-02 00:00:00;0.0;0.0;0.0;4.26;95.75;0.62;
2022-01-02 01:00:00;0.0;0.0;0.0;4.08;95.75;0.69;
