Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;-0.33;78.54;0.83;
2022-01-01 01:00:00;0.0;0.0;0.0;-0.84;76.21;0.92;
2022-01-01 02:00:00;0.0;0.0;0.0;-1.36;73.89;1.0;
2022-01-01 03:00:00;0.0;0.0;0.0;-1.88;71.56;1.08;
2022-01-01 04:00:00;0.0;0.0;0.0;-2.39;69.23;1.17;
2022-01-01 05:00:00;0.0;0.0;0.0;-2.91;66.9;1.25;
2022-01-01 06:00:00;0.0;0.0;0.0;-3.43;64.57;1.33;
2022-01-01 07:00:00;0.0;0.0;0.0;-3.94;62.25;1.41;
2022-01-01 08:00:00;106.0;492.31;39.0;-2.54;63.9;1.17;
2022-01-01 09:00:00;238.0;733.67;53.0;0.32;69.95;0.76;
2022-01-01 10:00:00;339.0;866.96;51.0;4.07;60.4;0.07;
2022-01-01 11:00:00;383.0;879.32;57.0;5.81;48.0;0.41;
2022-01-01 12:00:00;376.0;876.28;56.0;6.63;50.05;0.55;
2022-01-01 13:00:00;313.0;813.6;56.0;6.78;54.3;0.62;
2022-01-01 14:00:00;209.0;716.15;47.0;6.19;65.65;0.55;
2022-01-01 15:00:00;62.0;244.44;37.0;5.14;79.3;0.48;
2022-01-01 16:00:00;0.0;0.0;0.0;3.08;79.1;0.97;
2022-01-01 17:00:00;0.0;0.0;0.0;1.47;75.85;1.31;
2022-01-01 18:00:00;0.0;0.0;0.0;0.38;75.7;1.38;
2022-01-01 19:00:00;0.0;0.0;0.0;-1.38;84.95;1.52;
2022-01-01 20:00:00;0.0;0.0;0.0;-1.55;81.65;1.59;
2022-01-01 21:00:00;0.0;0.0;0.0;-1.57;78.45;1.52;
2022-01-01 22:00:00;0.0;0.0;0.0;-1.64;78.45;1.45;
2022-01-01 23:00:00;0.0;0.0;0.0;-1.62;75.35;1.38;
2022-01-02 00:00:00;0.0;0.0;0.0;-1.73;72.4;1.38;
2022-01-02 01:00:00;0.0;0.0;0.0;-1.79;69.55;1.31;
2022-01-02 02:00:00;0.0;0.0;0.0;-1.78;66.8;1.38;
2022-01-02 03:00:00;0.0;0.0;0.0;-1.99;69.45;1.38;
2022-01-02 04:00:00;0.0;0.0;0.0;-2.03;66.65;1.38;
