Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;-2.0;89.91;1.09;
2022-01-01 01:00:00;0.0;0.0;0.0;-2.07;90.95;1.02;
2022-01-01 02:00:00;0.0;0.0;0.0;-2.14;92.0;0.95;
2022-01-01 03:00:00;0.0;0.0;0.0;-2.21;93.04;0.89;
2022-01-01 04:00:00;0.0;0.0;0.0;-2.28;94.09;0.82;
2022-01-01 05:00:00;0.0;0.0;0.0;-2.35;95.13;0.75;
2022-01-01 06:00:00;0.0;0.0;0.0;-2.43;96.18;0.68;
2022-01-01 07:00:00;0.0;0.0;0.0;-2.5;97.22;0.62;
2022-01-01 08:00:00;101.0;339.39;52.0;-1.99;88.35;0.83;
2022-01-01 09:00:00;181.0;269.74;112.0;0.77;85.2;0.62;
2022-01-01 10:00:00;237.0;256.96;152.0;2.58;79.0;0.21;
2022-01-01 11:00:00;103.0;0.0;103.0;3.94;76.15;0.07;
2022-01-01 12:00:00;93.0;0.0;93.0;4.37;73.4;0.34;
2022-01-01 13:00:00;58.0;0.0;58.0;4.64;73.45;0.55;
2022-01-01 14:00:00;91.0;38.59;83.0;4.63;79.3;0.76;
2022-01-01 15:00:00;23.0;12.32;22.0;3.89;88.75;0.9;
2022-01-01 16:00:00;0.0;0.0;0.0;3.42;88.7;0.9;
2022-01-01 17:00:00;0.0;0.0;0.0;3.55;85.45;0.76;
2022-01-01 18:00:00;0.0;0.0;0.0;3.52;85.4;0.69;
2022-01-01 19:00:00;0.0;0.0;0.0;4.34;82.3;0.14;
2022-01-01 20:00:00;0.0;0.0;0.0;4.19;85.5;0.28;
2022-01-01 21:00:00;0.0;0.0;0.0;3.9;88.75;0.69;
2022-01-01 22:00:00;0.0;0.0;0.0;2.76;92.15;1.24;
2022-01-01 23:00:00;0.0;0.0;0.0;2.5;95.65;1.45;
2022-01-02 00:00:00;0.0;0.0;0.0;2.5;95.65;1.31;
2022-01-02 01:00:00;0.0;0.0;0.0;3.48;92.15;0.76;
2022-01-02 02:00:00;0.0;0.0;0.0;3.17;92.15;0.83;
2022-01-02 03:00:00;0.0;0.0;0.0;2.84;95.7;0.97;
2022-01-02 04:00:00;0.0;0.0;0.0;2.88;95.7;0.9;
