Unnamed: 0;ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow
2022-01-01 00:00:00;0.0;0.0;0.0;5.7;81.98;2.08;
2022-01-01 01:00:00;0.0;0.0;0.0;5.62;80.09;2.1;
2022-01-01 02:00:00;0.0;0.0;0.0;5.53;78.2;2.12;
2022-01-01 03:00:00;0.0;0.0;0.0;5.45;76.31;2.14;
2022-01-01 04:00:00;0.0;0.0;0.0;5.36;74.42;2.16;
2022-01-01 05:00:00;0.0;0.0;0.0;5.28;72.53;2.18;
2022-01-01 06:00:00;0.0;0.0;0.0;5.19;70.64;2.19;
2022-01-01 07:00:00;25.0;148.92;17.0;5.11;68.75;2.21;
2022-01-01 08:00:00;169.0;635.46;47.0;4.57;76.3;2.21;
2022-01-01 09:00:00;279.0;699.76;70.0;7.55;65.95;2.21;
2022-01-01 10:00:00;351.0;714.86;89.0;8.36;61.3;2.48;
2022-01-01 11:00:00;387.0;782.87;81.0;8.7;61.3;2.48;
2022-01-01 12:00:00;358.0;745.76;82.0;8.94;59.15;2.34;
2022-01-01 13:00:00;278.0;638.08;83.0;9.03;59.15;2.0;
2022-01-01 14:00:00;162.0;485.66;64.0;8.92;59.15;1.45;
2022-01-01 15:00:00;19.0;15.22;18.0;8.53;68.7;0.21;
2022-01-01 16:00:00;0.0;0.0;0.0;6.51;79.5;1.1;
2022-01-01 17:00:00;0.0;0.0;0.0;4.88;82.35;2.07;
2022-01-01 18:00:00;0.0;0.0;0.0;3.95;88.8;2.41;
2022-01-01 19:00:00;0.0;0.0;0.0;2.98;95.7;1.93;
2022-01-01 20:00:00;0.0;0.0;0.0;2.3;92.15;1.86;
2022-01-01 21:00:00;0.0;0.0;0.0;1.72;92.1;2.07;
2022-01-01 22:00:00;0.0;0.0;0.0;1.45;95.65;2.28;
2022-01-01 23:00:00;0.0;0.0;0.0;1.5;95.65;2.48;
2022-01-02 00:00:00;0.0;0.0;0.0;1.69;95.65;2.55;
2022-01-02 01:00:00;0.0;0.0;0.0;1.57;95.65;2.28;
2022-01-02 02:00:00;0.0;0.0;0.0;1.47;95.65;2.21;
2022-01-02 03:00:00;0.0;0.0;0.0;1.63;95.65;2.62;
2022-01-02 04:00:00;0.0;0.0;0.0;2.49;92.15;3.24;
2022-01-02 05:00:00;0.0;0.0;0.0;2.94;88.7;3.38;
2022-01-02 06:00:00;0.0;0.0;0.0;3.11;92.15;3.03;
2022-01-02 07:00:00;13.0;0.0;13.0;3.18;92.15;3.17;
2022-01-02 08:00:00;75.0;20.8;71.0;3.77;85.5;3.79;
2022-01-02 09:00:00;72.0;0.0;72.0;4.92;85.55;5.52;
2022-01-02 10:00:00;103.0;0.0;103.0;5.21;88.85;6.97;
2022-01-02 11:00:00;264.0;181.02;193.0;5.68;85.6;6.21;
2022-01-02 12:00:00;341.0;594.44;120.0;6.38;79.5;5.79;
2022-01-02 13:00:00;290.0;699.05;75.0;6.97;73.8;5.72;
2022-01-02 14:00:00;176.0;598.2;54.0;7.04;73.8;5.52;
