from,to,from_id,to_id,size_t_h,flow_kg_s,length_km,terrain,true_capex,capex_per_km,opex_fixed,elec_k_flow_mwh_per_t,size_class
TERMOVALORIZZATORE COMO,TERMOVALORIZZATORE DI DESIO,11,12,12.477192388528136,3.465886774591149,20.51,Onshore,13147531.513,641030.3029254022,0.017,0.05,small
Impianto di termovalorizzazione di Valmadrera,Italcementi Calusco D'Adda,17,18,14.074023787462123,3.9094510520728116,19.18,Onshore,12500486.845,651745.9251824818,0.019,0.048,small
Termovalorizzatore di Rimini,Ravenna,40,37,14.080166905497101,3.9111574737491948,58.19,Onshore,18882089.918,324490.2890187318,0.015,0.056,small
Stabilimento di Tavernola Bergamasca,Termovalorizzatore di Dalmine,22,19,15.071355799373043,4.186487722048067,35.37,Onshore,9919630.312,280453.21775515977,0.027,0.054,small
TERMOVALORIZZATORE DI BOLZANO,Cementirossi - Cementeria di Pederobba,28,33,15.92548723331947,4.423746453699853,82.08,Onshore,38565838.433,469856.70605506824,0.007,0.05,small
Impianto di Termovalorizzazione Rifiuti di Trieste,Venezia,41,38,17.352561473030704,4.820155964730751,118.0,Onshore,30787831.507,260913.82633050845,0.011,0.052,small
FRULLO ENERGIA AMBIENTE S.R.L.,HERAMBIENTE - 3^ LINEA,30,35,20.53567566709519,5.704354351970887,62.05,Onshore,20908714.34,336965.58162771957,0.015,0.053,small
STABILIMENTO DI PONTE DELLA PRIULA,Impianto di Termovalorizzazione di San Lazzaro (PD),36,34,23.17100313479624,6.436389759665622,52.92,Onshore,19923209.879,376477.88886999246,0.017,0.05,small
TermoTrezzo,SILLA 2,14,13,24.610877571971475,6.836354881103187,13.94,Onshore,7292139.896,523109.031276901,0.048,0.047,small
TERMOVALORIZZATORE DI DESIO,TERMOVALORIZZATORE BUSTO ARSIZIO,12,6,24.665206040940003,6.851446122483334,27.37,Onshore,10213671.398,373170.3104859335,0.034,0.048,small
HERAMBIENTE - 3^ LINEA,Ravenna,35,37,36.31954287336399,10.088761909267776,21.15,Onshore,11676130.966,552062.9298345154,0.039,0.048,small
LOMELLINA ENERGIA,TERMOVALORIZZATORE DI CORTEOLONA E GENZONE,8,16,37.22073468058482,10.339092966829115,46.03,Onshore,20217784.858,439230.60738648707,0.025,0.051,small
Cementirossi - Cementeria di Pederobba,Impianto di Termovalorizzazione di San Lazzaro (PD),33,34,57.27712634565745,15.910312873793735,52.82,Onshore,29803083.738,564238.6167739492,0.021,0.048,small
Colacem - Stabilimento di Caravate,Holcim (Italia) S.p.A.-unità produttiva di Ternate,4,5,60.039851097178705,16.677736415882972,11.72,Onshore,14247953.136,1215695.6600682593,0.044,0.047,small
FANNA cement plant,Venezia,39,38,65.19988622194515,18.111079506095873,88.15,Onshore,41733204.248,473433.9676460579,0.019,0.053,small
Trino Vercellese,RAFFINERIA DI SANNAZZARO DE' BURGONDI,3,9,71.22708960575532,19.785302668265366,48.54,Onshore,26000815.595,535657.5112278532,0.028,0.052,small
