MTU (CET/CEST),Area,Day-ahead Price (EUR/MWh)
01/01/2024 00:00:00 - 01/01/2024 01:00:00,BZN|IT-North,107.09
01/01/2024 01:00:00 - 01/01/2024 02:00:00,BZN|IT-North,104
01/01/2024 02:00:00 - 01/01/2024 03:00:00,BZN|IT-North,100
01/01/2024 03:00:00 - 01/01/2024 04:00:00,BZN|IT-North,85.66
01/01/2024 04:00:00 - 01/01/2024 05:00:00,BZN|IT-North,85
01/01/2024 05:00:00 - 01/01/2024 06:00:00,BZN|IT-North,85.53
01/01/2024 06:00:00 - 01/01/2024 07:00:00,BZN|IT-North,95.07
01/01/2024 07:00:00 - 01/01/2024 08:00:00,BZN|IT-North,104.07
01/01/2024 08:00:00 - 01/01/2024 09:00:00,BZN|IT-North,106.95
01/01/2024 09:00:00 - 01/01/2024 10:00:00,BZN|IT-North,107.08
01/01/2024 10:00:00 - 01/01/2024 11:00:00,BZN|IT-North,104
01/01/2024 11:00:00 - 01/01/2024 12:00:00,BZN|IT-North,98.13
01/01/2024 12:00:00 - 01/01/2024 13:00:00,BZN|IT-North,101.55
01/01/2024 13:00:00 - 01/01/2024 14:00:00,BZN|IT-North,98.16
01/01/2024 14:00:00 - 01/01/2024 15:00:00,BZN|IT-North,98.17
01/01/2024 15:00:00 - 01/01/2024 16:00:00,BZN|IT-North,105.54
01/01/2024 16:00:00 - 01/01/2024 17:00:00,BZN|IT-North,110
01/01/2024 17:00:00 - 01/01/2024 18:00:00,BZN|IT-North,120.04
01/01/2024 18:00:00 - 01/01/2024 19:00:00,BZN|IT-North,131.5
01/01/2024 19:00:00 - 01/01/2024 20:00:00,BZN|IT-North,132
01/01/2024 20:00:00 - 01/01/2024 21:00:00,BZN|IT-North,127.75
01/01/2024 21:00:00 - 01/01/2024 22:00:00,BZN|IT-North,113.48
01/01/2024 22:00:00 - 01/01/2024 23:00:00,BZN|IT-North,109.18
01/01/2024 23:00:00 - 02/01/2024 00:00:00,BZN|IT-North,107.2
02/01/2024 00:00:00 - 02/01/2024 01:00:00,BZN|IT-North,105.49
02/01/2024 01:00:00 - 02/01/2024 02:00:00,BZN|IT-North,90.09
02/01/2024 02:00:00 - 02/01/2024 03:00:00,BZN|IT-North,84.27
02/01/2024 03:00:00 - 02/01/2024 04:00:00,BZN|IT-North,84.27
02/01/2024 04:00:00 - 02/01/2024 05:00:00,BZN|IT-North,84.27
02/01/2024 05:00:00 - 02/01/2024 06:00:00,BZN|IT-North,100
02/01/2024 06:00:00 - 02/01/2024 07:00:00,BZN|IT-North,108.28
02/01/2024 07:00:00 - 02/01/2024 08:00:00,BZN|IT-North,113.85
02/01/2024 08:00:00 - 02/01/2024 09:00:00,BZN|IT-North,126.9
02/01/2024 09:00:00 - 02/01/2024 10:00:00,BZN|IT-North,119.5
02/01/2024 10:00:00 - 02/01/2024 11:00:00,BZN|IT-North,110.6
02/01/2024 11:00:00 - 02/01/2024 12:00:00,BZN|IT-North,108.28
02/01/2024 12:00:00 - 02/01/2024 13:00:00,BZN|IT-North,105.88
02/01/2024 13:00:00 - 02/01/2024 14:00:00,BZN|IT-North,100.15
02/01/2024 14:00:00 - 02/01/2024 15:00:00,BZN|IT-North,108.28
02/01/2024 15:00:00 - 02/01/2024 16:00:00,BZN|IT-North,110
02/01/2024 16:00:00 - 02/01/2024 17:00:00,BZN|IT-North,112.8
02/01/2024 17:00:00 - 02/01/2024 18:00:00,BZN|IT-North,129.99
02/01/2024 18:00:00 - 02/01/2024 19:00:00,BZN|IT-North,130
02/01/2024 19:00:00 - 02/01/2024 20:00:00,BZN|IT-North,124.29
02/01/2024 20:00:00 - 02/01/2024 21:00:00,BZN|IT-North,111.26
02/01/2024 21:00:00 - 02/01/2024 22:00:00,BZN|IT-North,108.28
02/01/2024 22:00:00 - 02/01/2024 23:00:00,BZN|IT-North,106
02/01/2024 23:00:00 - 03/01/2024 00:00:00,BZN|IT-North,92.41
03/01/2024 00:00:00 - 03/01/2024 01:00:00,BZN|IT-North,82.5
03/01/2024 01:00:00 - 03/01/2024 02:00:00,BZN|IT-North,70.1
03/01/2024 02:00:00 - 03/01/2024 03:00:00,BZN|IT-North,50.21
03/01/2024 03:00:00 - 03/01/2024 04:00:00,BZN|IT-North,40
03/01/2024 04:00:00 - 03/01/2024 05:00:00,BZN|IT-North,50
03/01/2024 05:00:00 - 03/01/2024 06:00:00,BZN|IT-North,75
03/01/2024 06:00:00 - 03/01/2024 07:00:00,BZN|IT-North,95.46
03/01/2024 07:00:00 - 03/01/2024 08:00:00,BZN|IT-North,108.28
03/01/2024 08:00:00 - 03/01/2024 09:00:00,BZN|IT-North,115.53
