GRID_OID,NON_ANTHROPISED,ANTHROPISED,NON_ANTHROPISED_A,ANTHROPISED_A,TOTAL_A
131,1,0,1.00,0.00,1.00
132,72,0,1.00,0.00,1.00
133,122,13,0.90,0.10,1.00
134,48,4,0.92,0.08,1.00
2259,68,0,1.00,0.00,1.00
6813,34,0,1.00,0.00,1.00
6814,12,1,0.92,0.08,1.00
7072,1,4,0.20,0.80,1.00
7075,6,5,0.55,0.45,1.00
7076,61,9,0.87,0.13,1.00
7077,47,6,0.89,0.11,1.00
7078,207,38,0.84,0.16,1.00
7079,191,27,0.88,0.12,1.00
7080,7,4,0.64,0.36,1.00
7274,3,0,1.00,0.00,1.00
7275,84,2,0.98,0.02,1.00
7276,22,0,1.00,0.00,1.00
7334,31,14,0.69,0.31,1.00
7335,169,19,0.90,0.10,1.00
7336,199,13,0.94,0.06,1.00
7337,213,30,0.88,0.12,1.00
7338,143,43,0.77,0.23,1.00
7339,124,11,0.92,0.08,1.00
7340,210,16,0.93,0.07,1.00
7341,254,2,0.99,0.01,1.00
7342,252,4,0.98,0.02,1.00
7343,236,36,0.87,0.13,1.00
7344,133,40,0.77,0.23,1.00
7538,3,0,1.00,0.00,1.00
7539,154,12,0.93,0.07,1.00
7540,267,5,0.98,0.02,1.00
7541,142,14,0.91,0.09,1.00
7595,9,16,0.36,0.64,1.00
7596,42,52,0.45,0.55,1.00
7597,83,37,0.69,0.31,1.00
7598,183,18,0.91,0.09,1.00
7599,224,43,0.84,0.16,1.00
7600,247,25,0.91,0.09,1.00
7601,272,0,1.00,0.00,1.00
7602,271,1,1.00,0.00,1.00
7603,285,4,0.99,0.01,1.00
7604,256,16,0.94,0.06,1.00
7605,260,12,0.96,0.04,1.00
7606,269,3,0.99,0.01,1.00
7607,269,3,0.99,0.01,1.00
7608,289,0,1.00,0.00,1.00
7609,57,7,0.89,0.11,1.00
7803,34,7,0.83,0.17,1.00
7804,176,24,0.88,0.12,1.00
7805,119,2,0.98,0.02,1.00
7806,11,3,0.79,0.21,1.00
7859,3,0,1.00,0.00,1.00
7860,124,100,0.55,0.45,1.00
7861,206,50,0.80,0.20,1.00
7862,256,0,1.00,0.00,1.00
7863,272,0,1.00,0.00,1.00
7864,256,0,1.00,0.00,1.00
7865,256,0,1.00,0.00,1.00
7866,237,19,0.93,0.07,1.00
7867,236,20,0.92,0.08,1.00
7868,272,0,1.00,0.00,1.00
7869,255,1,1.00,0.00,1.00
7870,228,28,0.89,0.11,1.00
7871,238,18,0.93,0.07,1.00
7872,256,0,1.00,0.00,1.00
7873,272,0,1.00,0.00,1.00
7874,104,0,1.00,0.00,1.00
8124,65,17,0.79,0.21,1.00
8125,227,29,0.89,0.11,1.00
8126,251,5,0.98,0.02,1.00
8127,256,0,1.00,0.00,1.00
8128,272,0,1.00,0.00,1.00
8129,256,0,1.00,0.00,1.00
8130,251,5,0.98,0.02,1.00
8131,232,24,0.91,0.09,1.00
8132,256,0,1.00,0.00,1.00
8133,272,0,1.00,0.00,1.00
8134,256,0,1.00,0.00,1.00
8135,256,0,1.00,0.00,1.00
8136,256,0,1.00,0.00,1.00
8137,256,0,1.00,0.00,1.00
8138,261,11,0.96,0.04,1.00
8139,201,8,0.96,0.04,1.00
8140,9,6,0.60,0.40,1.00
8388,9,12,0.43,0.57,1.00
8389,129,100,0.56,0.44,1.00
8390,232,24,0.91,0.09,1.00
8391,251,5,0.98,0.02,1.00
8392,255,1,1.00,0.00,1.00
8393,272,0,1.00,0.00,1.00
8394,255,1,1.00,0.00,1.00
8395,115,141,0.45,0.55,1.00
8396,241,15,0.94,0.06,1.00
8397,256,0,1.00,0.00,1.00
8398,271,1,1.00,0.00,1.00
8399,256,0,1.00,0.00,1.00
8400,256,0,1.00,0.00,1.00
8401,256,0,1.00,0.00,1.00
8402,256,0,1.00,0.00,1.00
8403,252,20,0.93,0.07,1.00
8404,237,19,0.93,0.07,1.00
8405,87,45,0.66,0.34,1.00
8652,3,0,1.00,0.00,1.00
8653,99,87,0.53,0.47,1.00
8654,170,86,0.66,0.34,1.00
8655,204,52,0.80,0.20,1.00
8656,174,82,0.68,0.32,1.00
8657,250,6,0.98,0.02,1.00
8658,217,55,0.80,0.20,1.00
8659,251,5,0.98,0.02,1.00
8660,256,0,1.00,0.00,1.00
8661,256,0,1.00,0.00,1.00
8662,256,0,1.00,0.00,1.00
8663,272,0,1.00,0.00,1.00
8664,256,0,1.00,0.00,1.00
8665,256,0,1.00,0.00,1.00
8666,256,0,1.00,0.00,1.00
8667,255,1,1.00,0.00,1.00
8668,272,0,1.00,0.00,1.00
8669,255,1,1.00,0.00,1.00
8670,252,4,0.98,0.02,1.00
8671,118,25,0.83,0.17,1.00
8672,19,11,0.63,0.37,1.00
8916,7,0,1.00,0.00,1.00
8917,135,36,0.79,0.21,1.00
8918,266,23,0.92,0.08,1.00
8919,250,22,0.92,0.08,1.00
8920,246,26,0.90,0.10,1.00
8921,271,1,1.00,0.00,1.00
8922,265,7,0.97,0.03,1.00
8923,276,13,0.96,0.04,1.00
8924,271,1,1.00,0.00,1.00
8925,272,0,1.00,0.00,1.00
8926,272,0,1.00,0.00,1.00
8927,272,0,1.00,0.00,1.00
8928,289,0,1.00,0.00,1.00
8929,272,0,1.00,0.00,1.00
8930,272,0,1.00,0.00,1.00
8931,272,0,1.00,0.00,1.00
8932,272,0,1.00,0.00,1.00
8933,289,0,1.00,0.00,1.00
8934,272,0,1.00,0.00,1.00
8935,272,0,1.00,0.00,1.00
8936,256,16,0.94,0.06,1.00
8937,239,29,0.89,0.11,1.00
8938,76,29,0.72,0.28,1.00
8939,34,13,0.72,0.28,1.00
9179,1,2,0.33,0.67,1.00
9180,7,59,0.11,0.89,1.00
9181,147,59,0.71,0.29,1.00
9182,254,2,0.99,0.01,1.00
9183,263,9,0.97,0.03,1.00
9184,255,1,1.00,0.00,1.00
9185,251,5,0.98,0.02,1.00
9186,255,1,1.00,0.00,1.00
9187,256,0,1.00,0.00,1.00
9188,272,0,1.00,0.00,1.00
9189,252,4,0.98,0.02,1.00
9190,250,6,0.98,0.02,1.00
9191,256,0,1.00,0.00,1.00
9192,249,7,0.97,0.03,1.00
9193,272,0,1.00,0.00,1.00
9194,243,13,0.95,0.05,1.00
9195,246,10,0.96,0.04,1.00
9196,256,0,1.00,0.00,1.00
9197,256,0,1.00,0.00,1.00
9198,254,18,0.93,0.07,1.00
9199,256,0,1.00,0.00,1.00
9200,255,1,1.00,0.00,1.00
9201,255,1,1.00,0.00,1.00
9202,245,11,0.96,0.04,1.00
9203,62,63,0.50,0.50,1.00
9204,4,0,1.00,0.00,1.00
9436,9,0,1.00,0.00,1.00
9437,76,8,0.90,0.10,1.00
9438,32,60,0.35,0.65,1.00
9439,28,8,0.78,0.22,1.00
9440,33,4,0.89,0.11,1.00
9441,30,1,0.97,0.03,1.00
9442,66,3,0.96,0.04,1.00
9443,124,12,0.91,0.09,1.00
9444,177,45,0.80,0.20,1.00
9445,194,62,0.76,0.24,1.00
9446,251,5,0.98,0.02,1.00
9447,256,0,1.00,0.00,1.00
9448,272,0,1.00,0.00,1.00
9449,256,0,1.00,0.00,1.00
9450,256,0,1.00,0.00,1.00
9451,256,0,1.00,0.00,1.00
9452,243,13,0.95,0.05,1.00
9453,272,0,1.00,0.00,1.00
9454,256,0,1.00,0.00,1.00
9455,256,0,1.00,0.00,1.00
9456,250,6,0.98,0.02,1.00
9457,256,0,1.00,0.00,1.00
