GRID_OID,PLAIN,HILL,MOUNTAIN,PLAIN_M,HILL_M,MOUNTAIN_M,TOTAL_M
132,4,3,0,0.57,0.43,0.00,1
133,7,0,0,1.00,0.00,0.00,1
134,5,0,0,1.00,0.00,0.00,1
2259,2,1,0,0.67,0.33,0.00,1
6813,2,0,0,1.00,0.00,0.00,1
6814,1,0,0,1.00,0.00,0.00,1
7075,1,0,0,1.00,0.00,0.00,1
7076,5,0,0,1.00,0.00,0.00,1
7077,3,0,0,1.00,0.00,0.00,1
7078,18,0,0,1.00,0.00,0.00,1
7079,17,0,0,1.00,0.00,0.00,1
7080,1,0,0,1.00,0.00,0.00,1
7275,0,7,0,0.00,1.00,0.00,1
7276,0,1,0,0.00,1.00,0.00,1
7334,3,0,0,1.00,0.00,0.00,1
7335,13,2,0,0.87,0.13,0.00,1
7336,13,5,0,0.72,0.28,0.00,1
7337,13,6,0,0.68,0.32,0.00,1
7338,12,0,0,1.00,0.00,0.00,1
7339,11,1,0,0.92,0.08,0.00,1
7340,18,0,0,1.00,0.00,0.00,1
7341,20,0,0,1.00,0.00,0.00,1
7342,19,0,0,1.00,0.00,0.00,1
7343,20,0,0,1.00,0.00,0.00,1
7344,13,0,0,1.00,0.00,0.00,1
7539,3,8,0,0.27,0.73,0.00,1
7540,0,17,5,0.00,0.77,0.23,1
7541,1,9,0,0.10,0.90,0.00,1
7595,1,0,0,1.00,0.00,0.00,1
7596,6,0,0,1.00,0.00,0.00,1
7597,7,1,0,0.88,0.13,0.00,1
7598,10,4,0,0.71,0.29,0.00,1
7599,12,7,0,0.63,0.37,0.00,1
7600,4,15,0,0.21,0.79,0.00,1
7601,15,6,0,0.71,0.29,0.00,1
7602,8,13,0,0.38,0.62,0.00,1
7603,13,8,0,0.62,0.38,0.00,1
7604,4,15,0,0.21,0.79,0.00,1
7605,13,8,0,0.62,0.38,0.00,1
7606,13,8,0,0.62,0.38,0.00,1
7607,16,4,0,0.80,0.20,0.00,1
7608,19,0,0,1.00,0.00,0.00,1
7609,2,0,0,1.00,0.00,0.00,1
7804,1,15,0,0.06,0.94,0.00,1
7805,1,8,0,0.11,0.89,0.00,1
7806,0,1,0,0.00,1.00,0.00,1
7860,17,0,0,1.00,0.00,0.00,1
7861,18,1,0,0.95,0.05,0.00,1
7862,7,13,0,0.35,0.65,0.00,1
7863,3,17,0,0.15,0.85,0.00,1
7864,1,19,0,0.05,0.95,0.00,1
7865,2,17,0,0.11,0.89,0.00,1
7866,1,19,0,0.05,0.95,0.00,1
7867,19,1,0,0.95,0.05,0.00,1
7868,10,10,0,0.50,0.50,0.00,1
7869,7,12,0,0.37,0.63,0.00,1
7870,3,17,0,0.15,0.85,0.00,1
7871,8,12,0,0.40,0.60,0.00,1
7872,11,10,0,0.52,0.48,0.00,1
7873,19,1,0,0.95,0.05,0.00,1
7874,8,0,0,1.00,0.00,0.00,1
8124,7,0,0,1.00,0.00,0.00,1
8125,16,5,0,0.76,0.24,0.00,1
8126,7,12,0,0.37,0.63,0.00,1
