GRID_OID,ROCK,NON_ROCK,ROCK_S,NON_ROCK_S,TOTAL_S
7078,0,1,0,1,1
7079,1,0,1,0,1
7335,0,1,0,1,1
7336,0,1,0,1,1
7337,0,1,0,1,1
7338,0,1,0,1,1
7339,0,1,0,1,1
7340,0,1,0,1,1
7341,0,1,0,1,1
7342,0,1,0,1,1
7343,1,0,1,0,1
7344,1,0,1,0,1
7539,0,1,0,1,1
7540,0,1,0,1,1
7541,0,1,0,1,1
7598,0,1,0,1,1
7599,0,1,0,1,1
7600,1,0,1,0,1
7601,1,0,1,0,1
7602,1,0,1,0,1
7603,1,0,1,0,1
7604,1,0,1,0,1
7605,0,1,0,1,1
7606,1,0,1,0,1
7607,1,0,1,0,1
7608,1,0,1,0,1
7804,0,1,0,1,1
7860,0,1,0,1,1
7861,0,1,0,1,1
7862,0,1,0,1,1
7863,1,0,1,0,1
7864,1,0,1,0,1
7865,1,0,1,0,1
7866,1,0,1,0,1
7867,1,0,1,0,1
7868,1,0,1,0,1
7869,1,0,1,0,1
7870,1,0,1,0,1
7871,0,1,0,1,1
7872,0,1,0,1,1
7873,1,0,1,0,1
8125,0,1,0,1,1
8126,1,0,1,0,1
8127,1,0,1,0,1
8128,1,0,1,0,1
8129,1,0,1,0,1
8130,1,0,1,0,1
8131,1,0,1,0,1
8132,1,0,1,0,1
8133,1,0,1,0,1
8134,1,0,1,0,1
8135,1,0,1,0,1
8136,1,0,1,0,1
8137,0,1,0,1,1
8138,1,0,1,0,1
8139,1,0,1,0,1
8389,0,1,0,1,1
8390,0,1,0,1,1
8391,0,1,0,1,1
8392,1,0,1,0,1
8393,1,0,1,0,1
8394,1,0,1,0,1
8395,1,0,1,0,1
8396,1,0,1,0,1
8397,1,0,1,0,1
8398,1,0,1,0,1
8399,1,0,1,0,1
8400,1,0,1,0,1
8401,1,0,1,0,1
8402,1,0,1,0,1
8403,0,1,0,1,1
8404,1,0,1,0,1
8653,0,1,0,1,1
8654,0,1,0,1,1
8655,0,1,0,1,1
8656,0,1,0,1,1
8657,0,1,0,1,1
8658,1,0,1,0,1
8659,1,0,1,0,1
8660,1,0,1,0,1
8661,1,0,1,0,1
8662,1,0,1,0,1
8663,1,0,1,0,1
8664,1,0,1,0,1
8665,1,0,1,0,1
8666,1,0,1,0,1
8667,1,0,1,0,1
8668,1,0,1,0,1
8669,1,0,1,0,1
8670,1,0,1,0,1
8671,1,0,1,0,1
8917,0,1,0,1,1
8918,0,1,0,1,1
8919,0,1,0,1,1
8920,0,1,0,1,1
8921,0,1,0,1,1
8922,0,1,0,1,1
8923,0,1,0,1,1
8924,1,0,1,0,1
8925,1,0,1,0,1
8926,1,0,1,0,1
8927,1,0,1,0,1
8928,1,0,1,0,1
8929,1,0,1,0,1
8930,1,0,1,0,1
8931,1,0,1,0,1
8932,1,0,1,0,1
8933,1,0,1,0,1
8934,1,0,1,0,1
8935,1,0,1,0,1
8936,1,0,1,0,1
8937,1,0,1,0,1
9181,0,1,0,1,1
9182,0,1,0,1,1
9183,0,1,0,1,1
9184,0,1,0,1,1
9185,1,0,1,0,1
9186,0,1,0,1,1
9187,0,1,0,1,1
9188,0,1,0,1,1
9189,1,0,1,0,1
9190,1,0,1,0,1
9191,1,0,1,0,1
9192,1,0,1,0,1
9193,1,0,1,0,1
9194,1,0,1,0,1
9195,1,0,1,0,1
9196,1,0,1,0,1
9197,1,0,1,0,1
9198,1,0,1,0,1
9199,1,0,1,0,1
9200,1,0,1,0,1
9201,1,0,1,0,1
9202,1,0,1,0,1
9444,0,1,0,1,1
9445,0,1,0,1,1
9446,0,1,0,1,1
9447,0,1,0,1,1
9448,0,1,0,1,1
9449,0,1,0,1,1
9450,1,0,1,0,1
9451,0,1,0,1,1
9452,0,1,0,1,1
9453,0,1,0,1,1
9454,1,0,1,0,1
9455,1,0,1,0,1
9456,0,1,0,1,1
9457,0,1,0,1,1
9458,0,1,0,1,1
9459,0,1,0,1,1
9460,1,0,1,0,1
9461,1,0,1,0,1
9462,1,0,1,0,1
9463,1,0,1,0,1
9464,1,0,1,0,1
9465,1,0,1,0,1
9466,1,0,1,0,1
9467,1,0,1,0,1
9468,1,0,1,0,1
9701,0,1,0,1,1
9702,0,1,0,1,1
9703,0,1,0,1,1
9704,0,1,0,1,1
9705,1,0,1,0,1
9706,1,0,1,0,1
9707,1,0,1,0,1
9708,1,0,1,0,1
9709,0,1,0,1,1
9710,0,1,0,1,1
9711,0,1,0,1,1
9712,0,1,0,1,1
9713,0,1,0,1,1
9714,0,1,0,1,1
9715,0,1,0,1,1
9716,1,0,1,0,1
9717,0,1,0,1,1
9718,0,1,0,1,1
9719,0,1,0,1,1
9720,1,0,1,0,1
9721,0,1,0,1,1
9722,1,0,1,0,1
9723,1,0,1,0,1
9724,1,0,1,0,1
9725,1,0,1,0,1
9726,1,0,1,0,1
9727,1,0,1,0,1
9728,1,0,1,0,1
9729,1,0,1,0,1
9730,1,0,1,0,1
9731,1,0,1,0,1
9963,0,1,0,1,1
9964,0,1,0,1,1
9965,1,0,1,0,1
9966,1,0,1,0,1
9967,0,1,0,1,1
9968,0,1,0,1,1
9969,0,1,0,1,1
9970,0,1,0,1,1
9971,0,1,0,1,1
9972,0,1,0,1,1
9973,0,1,0,1,1
9974,0,1,0,1,1
9975,0,1,0,1,1
9976,0,1,0,1,1
9977,0,1,0,1,1
9978,0,1,0,1,1
9979,0,1,0,1,1
9980,0,1,0,1,1
9981,0,1,0,1,1
9982,0,1,0,1,1
9983,0,1,0,1,1
9984,0,1,0,1,1
9985,0,1,0,1,1
9986,1,0,1,0,1
9987,1,0,1,0,1
9988,1,0,1,0,1
9989,1,0,1,0,1
9990,1,0,1,0,1
9991,1,0,1,0,1
9992,1,0,1,0,1
9993,1,0,1,0,1
9994,1,0,1,0,1
9995,1,0,1,0,1
10227,0,1,0,1,1
10228,0,1,0,1,1
10229,1,0,1,0,1
10230,0,1,0,1,1
10231,1,0,1,0,1
10232,0,1,0,1,1
10233,1,0,1,0,1
10234,0,1,0,1,1
10235,0,1,0,1,1
10236,0,1,0,1,1
10237,1,0,1,0,1
10238,0,1,0,1,1
10239,0,1,0,1,1
10240,0,1,0,1,1
10241,1,0,1,0,1
10242,0,1,0,1,1
10243,0,1,0,1,1
10244,0,1,0,1,1
10245,0,1,0,1,1
10246,0,1,0,1,1
10247,0,1,0,1,1
10248,0,1,0,1,1
10249,1,0,1,0,1
10250,1,0,1,0,1
10251,1,0,1,0,1
10252,1,0,1,0,1
10253,1,0,1,0,1
10254,1,0,1,0,1
10255,1,0,1,0,1
10256,1,0,1,0,1
10257,1,0,1,0,1
10258,1,0,1,0,1
10259,1,0,1,0,1
10260,1,0,1,0,1
10490,0,1,0,1,1
10491,0,1,0,1,1
10492,1,0,1,0,1
10493,1,0,1,0,1
10494,0,1,0,1,1
10495,0,1,0,1,1
10496,1,0,1,0,1
10497,1,0,1,0,1
10498,1,0,1,0,1
10499,0,1,0,1,1
10500,0,1,0,1,1
10501,0,1,0,1,1
10502,1,0,1,0,1
10503,0,1,0,1,1
10504,0,1,0,1,1
10505,0,1,0,1,1
10506,1,0,1,0,1
10507,0,1,0,1,1
10508,0,1,0,1,1
10509,0,1,0,1,1
10510,0,1,0,1,1
10511,1,0,1,0,1
10512,0,1,0,1,1
10513,1,0,1,0,1
10514,1,0,1,0,1
10515,1,0,1,0,1
10516,1,0,1,0,1
10517,1,0,1,0,1
10518,1,0,1,0,1
10519,1,0,1,0,1
10520,1,0,1,0,1
10521,1,0,1,0,1
10522,1,0,1,0,1
10523,1,0,1,0,1
10524,1,0,1,0,1
10525,1,0,1,0,1
10526,1,0,1,0,1
10752,0,1,0,1,1
10753,0,1,0,1,1
10754,0,1,0,1,1
10755,0,1,0,1,1
10756,0,1,0,1,1
10757,0,1,0,1,1
10758,1,0,1,0,1
10759,1,0,1,0,1
10760,1,0,1,0,1
10761,1,0,1,0,1
10762,1,0,1,0,1
10763,0,1,0,1,1
10764,0,1,0,1,1
10765,0,1,0,1,1
10766,0,1,0,1,1
10767,0,1,0,1,1
10768,0,1,0,1,1
10769,0,1,0,1,1
10770,0,1,0,1,1
10771,0,1,0,1,1
10772,0,1,0,1,1
10773,0,1,0,1,1
10774,0,1,0,1,1
10775,0,1,0,1,1
10776,1,0,1,0,1
10777,1,0,1,0,1
10778,0,1,0,1,1
10779,0,1,0,1,1
10780,1,0,1,0,1
10781,1,0,1,0,1
10782,1,0,1,0,1
10783,1,0,1,0,1
10784,0,1,0,1,1
10785,0,1,0,1,1
10786,0,1,0,1,1
10787,1,0,1,0,1
10788,0,1,0,1,1
11015,0,1,0,1,1
11016,0,1,0,1,1
11017,0,1,0,1,1
11018,0,1,0,1,1
11019,0,1,0,1,1
11020,0,1,0,1,1
11021,1,0,1,0,1
11022,0,1,0,1,1
11023,0,1,0,1,1
11024,1,0,1,0,1
11025,1,0,1,0,1
11026,0,1,0,1,1
11027,0,1,0,1,1
11028,1,0,1,0,1
11029,0,1,0,1,1
11030,0,1,0,1,1
11031,0,1,0,1,1
11032,1,0,1,0,1
11033,0,1,0,1,1
11034,0,1,0,1,1
11035,0,1,0,1,1
11036,0,1,0,1,1
11037,0,1,0,1,1
11038,0,1,0,1,1
11039,0,1,0,1,1
11040,0,1,0,1,1
11041,0,1,0,1,1
11042,0,1,0,1,1
11043,0,1,0,1,1
11044,1,0,1,0,1
11045,1,0,1,0,1
11046,1,0,1,0,1
11047,1,0,1,0,1
11048,1,0,1,0,1
11049,0,1,0,1,1
11050,1,0,1,0,1
11051,0,1,0,1,1
11052,0,1,0,1,1
11053,0,1,0,1,1
11278,0,1,0,1,1
11279,0,1,0,1,1
11280,0,1,0,1,1
11281,0,1,0,1,1
11282,0,1,0,1,1
11283,0,1,0,1,1
11284,0,1,0,1,1
11285,0,1,0,1,1
11286,1,0,1,0,1
11287,0,1,0,1,1
11288,0,1,0,1,1
11289,1,0,1,0,1
11290,0,1,0,1,1
11291,0,1,0,1,1
11292,1,0,1,0,1
11293,1,0,1,0,1
11294,0,1,0,1,1
11295,0,1,0,1,1
11296,0,1,0,1,1
11297,1,0,1,0,1
11298,0,1,0,1,1
11299,0,1,0,1,1
11300,0,1,0,1,1
11301,0,1,0,1,1
11302,0,1,0,1,1
11303,0,1,0,1,1
11304,0,1,0,1,1
11305,0,1,0,1,1
11306,0,1,0,1,1
11307,0,1,0,1,1
11308,0,1,0,1,1
11309,0,1,0,1,1
11310,0,1,0,1,1
11311,0,1,0,1,1
11312,0,1,0,1,1
11313,0,1,0,1,1
11314,0,1,0,1,1
11315,0,1,0,1,1
11316,0,1,0,1,1
11317,0,1,0,1,1
11318,0,1,0,1,1
11543,0,1,0,1,1
11544,0,1,0,1,1
11545,0,1,0,1,1
11546,0,1,0,1,1
11547,0,1,0,1,1
11548,0,1,0,1,1
11549,0,1,0,1,1
11550,0,1,0,1,1
11551,0,1,0,1,1
11552,0,1,0,1,1
11553,0,1,0,1,1
11554,0,1,0,1,1
11555,0,1,0,1,1
11556,0,1,0,1,1
11557,0,1,0,1,1
11558,0,1,0,1,1
11559,0,1,0,1,1
11560,0,1,0,1,1
11561,0,1,0,1,1
11562,0,1,0,1,1
11563,0,1,0,1,1
11564,0,1,0,1,1
11565,0,1,0,1,1
11566,0,1,0,1,1
11567,0,1,0,1,1
11568,0,1,0,1,1
11569,0,1,0,1,1
11570,0,1,0,1,1
11571,0,1,0,1,1
11572,0,1,0,1,1
11573,0,1,0,1,1
11574,0,1,0,1,1
11575,1,0,1,0,1
11576,0,1,0,1,1
11577,0,1,0,1,1
11578,0,1,0,1,1
11579,0,1,0,1,1
11580,0,1,0,1,1
11581,1,0,1,0,1
11582,0,1,0,1,1
11583,0,1,0,1,1
11806,1,0,1,0,1
11807,0,1,0,1,1
11808,1,0,1,0,1
11809,0,1,0,1,1
11810,0,1,0,1,1
11811,0,1,0,1,1
11812,0,1,0,1,1
11813,0,1,0,1,1
11814,0,1,0,1,1
11815,0,1,0,1,1
11816,0,1,0,1,1
11817,0,1,0,1,1
11818,0,1,0,1,1
11819,0,1,0,1,1
11820,0,1,0,1,1
11821,0,1,0,1,1
11822,0,1,0,1,1
11823,0,1,0,1,1
11824,0,1,0,1,1
11825,0,1,0,1,1
11826,0,1,0,1,1
11827,1,0,1,0,1
11828,1,0,1,0,1
11829,1,0,1,0,1
11830,1,0,1,0,1
11831,1,0,1,0,1
11832,0,1,0,1,1
11833,0,1,0,1,1
11834,0,1,0,1,1
11835,0,1,0,1,1
11836,0,1,0,1,1
11837,0,1,0,1,1
11838,0,1,0,1,1
11839,0,1,0,1,1
11840,1,0,1,0,1
11841,0,1,0,1,1
11842,0,1,0,1,1
11843,0,1,0,1,1
11844,0,1,0,1,1
11845,1,0,1,0,1
11846,1,0,1,0,1
11847,1,0,1,0,1
11848,1,0,1,0,1
12067,0,1,0,1,1
12068,1,0,1,0,1
12069,0,1,0,1,1
12070,0,1,0,1,1
12071,0,1,0,1,1
12072,0,1,0,1,1
12073,0,1,0,1,1
12074,0,1,0,1,1
12075,0,1,0,1,1
12076,0,1,0,1,1
12077,0,1,0,1,1
12078,0,1,0,1,1
12079,0,1,0,1,1
12080,0,1,0,1,1
12081,0,1,0,1,1
12082,0,1,0,1,1
12083,0,1,0,1,1
12084,0,1,0,1,1
12085,0,1,0,1,1
12086,0,1,0,1,1
12087,0,1,0,1,1
12088,0,1,0,1,1
12089,0,1,0,1,1
12090,0,1,0,1,1
12091,0,1,0,1,1
12092,0,1,0,1,1
12093,0,1,0,1,1
12094,0,1,0,1,1
12095,0,1,0,1,1
12096,0,1,0,1,1
12097,0,1,0,1,1
12098,0,1,0,1,1
12099,0,1,0,1,1
12100,0,1,0,1,1
12101,0,1,0,1,1
12102,0,1,0,1,1
12103,0,1,0,1,1
12104,0,1,0,1,1
12105,0,1,0,1,1
12106,0,1,0,1,1
12107,1,0,1,0,1
12108,0,1,0,1,1
12109,1,0,1,0,1
12110,1,0,1,0,1
12111,1,0,1,0,1
12112,1,0,1,0,1
12113,1,0,1,0,1
12114,1,0,1,0,1
12325,1,0,1,0,1
12326,1,0,1,0,1
12327,0,1,0,1,1
12328,0,1,0,1,1
12329,0,1,0,1,1
12330,0,1,0,1,1
12331,0,1,0,1,1
12332,0,1,0,1,1
12333,0,1,0,1,1
12334,0,1,0,1,1
12335,1,0,1,0,1
12336,1,0,1,0,1
12337,0,1,0,1,1
12338,0,1,0,1,1
12339,1,0,1,0,1
12340,0,1,0,1,1
12341,0,1,0,1,1
12342,0,1,0,1,1
12343,0,1,0,1,1
12344,0,1,0,1,1
12345,0,1,0,1,1
12346,0,1,0,1,1
12347,0,1,0,1,1
12348,0,1,0,1,1
12349,0,1,0,1,1
12350,0,1,0,1,1
12351,0,1,0,1,1
12352,0,1,0,1,1
12353,0,1,0,1,1
12354,0,1,0,1,1
12355,0,1,0,1,1
12356,0,1,0,1,1
12357,0,1,0,1,1
12358,0,1,0,1,1
12359,0,1,0,1,1
12360,1,0,1,0,1
12361,0,1,0,1,1
12362,0,1,0,1,1
12363,0,1,0,1,1
12364,0,1,0,1,1
12365,0,1,0,1,1
12366,0,1,0,1,1
12367,0,1,0,1,1
12368,0,1,0,1,1
12369,1,0,1,0,1
12370,1,0,1,0,1
12371,0,1,0,1,1
12372,0,1,0,1,1
12373,0,1,0,1,1
12374,1,0,1,0,1
12375,1,0,1,0,1
12376,1,0,1,0,1
12377,1,0,1,0,1
12378,1,0,1,0,1
12379,1,0,1,0,1
12380,1,0,1,0,1
12589,0,1,0,1,1
12590,1,0,1,0,1
12591,1,0,1,0,1
12592,1,0,1,0,1
12593,1,0,1,0,1
12594,0,1,0,1,1
12595,0,1,0,1,1
12596,1,0,1,0,1
12597,1,0,1,0,1
12598,1,0,1,0,1
12599,0,1,0,1,1
12600,0,1,0,1,1
12601,1,0,1,0,1
12602,0,1,0,1,1
12603,0,1,0,1,1
12604,1,0,1,0,1
12605,1,0,1,0,1
12606,1,0,1,0,1
12607,1,0,1,0,1
12608,1,0,1,0,1
12609,1,0,1,0,1
12610,1,0,1,0,1
12611,1,0,1,0,1
12612,0,1,0,1,1
12613,0,1,0,1,1
12614,0,1,0,1,1
12615,0,1,0,1,1
12616,0,1,0,1,1
12617,0,1,0,1,1
12618,0,1,0,1,1
12619,1,0,1,0,1
12620,0,1,0,1,1
12621,0,1,0,1,1
12622,0,1,0,1,1
12623,0,1,0,1,1
12624,0,1,0,1,1
12625,0,1,0,1,1
12626,0,1,0,1,1
12627,0,1,0,1,1
12628,1,0,1,0,1
12629,0,1,0,1,1
12630,0,1,0,1,1
12631,0,1,0,1,1
12632,1,0,1,0,1
12633,1,0,1,0,1
12634,0,1,0,1,1
12635,0,1,0,1,1
12636,0,1,0,1,1
12637,0,1,0,1,1
12638,1,0,1,0,1
12639,1,0,1,0,1
12640,1,0,1,0,1
12641,1,0,1,0,1
12642,1,0,1,0,1
12643,1,0,1,0,1
12644,1,0,1,0,1
12645,1,0,1,0,1
12852,1,0,1,0,1
12853,0,1,0,1,1
12854,1,0,1,0,1
12855,0,1,0,1,1
12856,0,1,0,1,1
12857,0,1,0,1,1
12858,1,0,1,0,1
12859,1,0,1,0,1
12860,0,1,0,1,1
12861,1,0,1,0,1
12862,1,0,1,0,1
12863,0,1,0,1,1
12864,0,1,0,1,1
12865,0,1,0,1,1
12866,1,0,1,0,1
12867,0,1,0,1,1
12868,1,0,1,0,1
12869,1,0,1,0,1
12870,0,1,0,1,1
12871,1,0,1,0,1
12872,1,0,1,0,1
12873,1,0,1,0,1
12874,1,0,1,0,1
12875,1,0,1,0,1
12876,0,1,0,1,1
12877,0,1,0,1,1
12878,0,1,0,1,1
12879,0,1,0,1,1
12880,0,1,0,1,1
12881,0,1,0,1,1
12882,0,1,0,1,1
12883,1,0,1,0,1
12884,1,0,1,0,1
12885,1,0,1,0,1
12886,0,1,0,1,1
12887,0,1,0,1,1
12888,0,1,0,1,1
12889,0,1,0,1,1
12890,0,1,0,1,1
12891,0,1,0,1,1
12892,0,1,0,1,1
12893,0,1,0,1,1
12894,0,1,0,1,1
12895,1,0,1,0,1
12896,1,0,1,0,1
12897,1,0,1,0,1
12898,1,0,1,0,1
12899,0,1,0,1,1
12900,0,1,0,1,1
12901,1,0,1,0,1
12902,1,0,1,0,1
12903,1,0,1,0,1
12904,1,0,1,0,1
12905,1,0,1,0,1
12906,1,0,1,0,1
12907,1,0,1,0,1
12908,1,0,1,0,1
12909,1,0,1,0,1
12910,1,0,1,0,1
12911,0,1,0,1,1
13116,1,0,1,0,1
13117,1,0,1,0,1
13118,1,0,1,0,1
13119,1,0,1,0,1
13120,1,0,1,0,1
13121,0,1,0,1,1
13122,0,1,0,1,1
13123,0,1,0,1,1
13124,0,1,0,1,1
13125,1,0,1,0,1
13126,0,1,0,1,1
13127,0,1,0,1,1
13128,0,1,0,1,1
13129,0,1,0,1,1
13130,0,1,0,1,1
13131,0,1,0,1,1
13132,1,0,1,0,1
13133,0,1,0,1,1
13134,0,1,0,1,1
13135,0,1,0,1,1
13136,0,1,0,1,1
13137,0,1,0,1,1
13138,1,0,1,0,1
13139,1,0,1,0,1
13140,1,0,1,0,1
13141,0,1,0,1,1
13142,0,1,0,1,1
13143,0,1,0,1,1
13144,0,1,0,1,1
13145,0,1,0,1,1
13146,0,1,0,1,1
13147,0,1,0,1,1
13148,0,1,0,1,1
13149,0,1,0,1,1
13150,0,1,0,1,1
13151,0,1,0,1,1
13152,0,1,0,1,1
13153,0,1,0,1,1
13154,0,1,0,1,1
13155,0,1,0,1,1
13156,0,1,0,1,1
13157,0,1,0,1,1
13158,0,1,0,1,1
13159,0,1,0,1,1
13160,1,0,1,0,1
13161,0,1,0,1,1
13162,0,1,0,1,1
13163,0,1,0,1,1
13164,0,1,0,1,1
13165,0,1,0,1,1
13166,1,0,1,0,1
13167,1,0,1,0,1
13168,1,0,1,0,1
13169,1,0,1,0,1
13170,1,0,1,0,1
13171,1,0,1,0,1
13172,1,0,1,0,1
13173,1,0,1,0,1
13174,1,0,1,0,1
13175,1,0,1,0,1
13176,0,1,0,1,1
13381,1,0,1,0,1
13382,1,0,1,0,1
13383,1,0,1,0,1
13384,0,1,0,1,1
13385,0,1,0,1,1
13386,0,1,0,1,1
13387,0,1,0,1,1
13388,0,1,0,1,1
13389,0,1,0,1,1
13390,0,1,0,1,1
13391,0,1,0,1,1
13392,1,0,1,0,1
13393,0,1,0,1,1
13394,0,1,0,1,1
13395,0,1,0,1,1
13396,0,1,0,1,1
13397,0,1,0,1,1
13398,0,1,0,1,1
13399,0,1,0,1,1
13400,0,1,0,1,1
13401,0,1,0,1,1
13402,0,1,0,1,1
13403,0,1,0,1,1
13404,0,1,0,1,1
13405,0,1,0,1,1
13406,0,1,0,1,1
13407,0,1,0,1,1
13408,0,1,0,1,1
13409,0,1,0,1,1
13410,0,1,0,1,1
13411,0,1,0,1,1
13412,0,1,0,1,1
13413,0,1,0,1,1
13414,0,1,0,1,1
13415,0,1,0,1,1
13416,0,1,0,1,1
13417,0,1,0,1,1
13418,0,1,0,1,1
13419,0,1,0,1,1
13420,1,0,1,0,1
13421,1,0,1,0,1
13422,1,0,1,0,1
13423,0,1,0,1,1
13424,0,1,0,1,1
13425,0,1,0,1,1
13426,0,1,0,1,1
13427,0,1,0,1,1
13428,0,1,0,1,1
13429,0,1,0,1,1
13430,0,1,0,1,1
13431,1,0,1,0,1
13432,1,0,1,0,1
13433,1,0,1,0,1
13434,1,0,1,0,1
13435,1,0,1,0,1
13436,1,0,1,0,1
13437,1,0,1,0,1
13438,1,0,1,0,1
13439,1,0,1,0,1
13440,1,0,1,0,1
13441,0,1,0,1,1
13645,1,0,1,0,1
13646,1,0,1,0,1
13647,0,1,0,1,1
13648,0,1,0,1,1
13649,0,1,0,1,1
13650,0,1,0,1,1
13651,0,1,0,1,1
13652,0,1,0,1,1
13653,0,1,0,1,1
13654,0,1,0,1,1
13655,0,1,0,1,1
13656,0,1,0,1,1
13657,0,1,0,1,1
13658,0,1,0,1,1
13659,0,1,0,1,1
13660,0,1,0,1,1
13661,0,1,0,1,1
13662,0,1,0,1,1
13663,0,1,0,1,1
13664,0,1,0,1,1
13665,0,1,0,1,1
13666,0,1,0,1,1
13667,0,1,0,1,1
13668,0,1,0,1,1
13669,0,1,0,1,1
13670,0,1,0,1,1
13671,0,1,0,1,1
13672,0,1,0,1,1
13673,0,1,0,1,1
13674,1,0,1,0,1
13675,1,0,1,0,1
13676,0,1,0,1,1
13677,0,1,0,1,1
13678,0,1,0,1,1
13679,0,1,0,1,1
13680,0,1,0,1,1
13681,0,1,0,1,1
13682,0,1,0,1,1
13683,1,0,1,0,1
13684,0,1,0,1,1
13685,0,1,0,1,1
13686,0,1,0,1,1
13687,0,1,0,1,1
13688,0,1,0,1,1
13689,0,1,0,1,1
13690,0,1,0,1,1
13691,0,1,0,1,1
13692,0,1,0,1,1
13693,0,1,0,1,1
13694,0,1,0,1,1
13695,0,1,0,1,1
13696,1,0,1,0,1
13697,1,0,1,0,1
13698,1,0,1,0,1
13699,1,0,1,0,1
13700,1,0,1,0,1
13701,1,0,1,0,1
13702,1,0,1,0,1
13703,1,0,1,0,1
13704,1,0,1,0,1
13705,1,0,1,0,1
13706,1,0,1,0,1
13707,0,1,0,1,1
13911,1,0,1,0,1
13912,1,0,1,0,1
13913,0,1,0,1,1
13914,0,1,0,1,1
13915,0,1,0,1,1
13916,0,1,0,1,1
13917,1,0,1,0,1
13918,0,1,0,1,1
13919,0,1,0,1,1
13920,0,1,0,1,1
13921,0,1,0,1,1
13922,0,1,0,1,1
13923,1,0,1,0,1
13924,0,1,0,1,1
13925,0,1,0,1,1
13926,0,1,0,1,1
13927,0,1,0,1,1
13928,0,1,0,1,1
13929,0,1,0,1,1
13930,1,0,1,0,1
13931,1,0,1,0,1
13932,1,0,1,0,1
13933,0,1,0,1,1
13934,0,1,0,1,1
13935,0,1,0,1,1
13936,0,1,0,1,1
13937,0,1,0,1,1
13938,0,1,0,1,1
13939,0,1,0,1,1
13940,1,0,1,0,1
13941,0,1,0,1,1
13942,0,1,0,1,1
13943,1,0,1,0,1
13944,1,0,1,0,1
13945,1,0,1,0,1
13946,1,0,1,0,1
13947,1,0,1,0,1
13948,1,0,1,0,1
13949,0,1,0,1,1
13950,0,1,0,1,1
13951,0,1,0,1,1
13952,0,1,0,1,1
13953,0,1,0,1,1
13954,1,0,1,0,1
13955,1,0,1,0,1
13956,0,1,0,1,1
13957,0,1,0,1,1
13958,0,1,0,1,1
13959,0,1,0,1,1
13960,1,0,1,0,1
13961,0,1,0,1,1
13962,1,0,1,0,1
13963,1,0,1,0,1
13964,1,0,1,0,1
13965,1,0,1,0,1
13966,1,0,1,0,1
13967,1,0,1,0,1
13968,1,0,1,0,1
13969,0,1,0,1,1
13970,0,1,0,1,1
13971,1,0,1,0,1
13972,1,0,1,0,1
13973,0,1,0,1,1
14176,0,1,0,1,1
14177,1,0,1,0,1
14178,0,1,0,1,1
14179,0,1,0,1,1
14180,0,1,0,1,1
14181,0,1,0,1,1
14182,0,1,0,1,1
14183,1,0,1,0,1
14184,1,0,1,0,1
14185,0,1,0,1,1
14186,0,1,0,1,1
14187,0,1,0,1,1
14188,1,0,1,0,1
14189,1,0,1,0,1
14190,1,0,1,0,1
14191,1,0,1,0,1
14192,0,1,0,1,1
14193,0,1,0,1,1
14194,0,1,0,1,1
14195,0,1,0,1,1
14196,1,0,1,0,1
14197,0,1,0,1,1
14198,0,1,0,1,1
14199,0,1,0,1,1
14200,0,1,0,1,1
14201,0,1,0,1,1
14202,0,1,0,1,1
14203,0,1,0,1,1
14204,0,1,0,1,1
14205,0,1,0,1,1
14206,0,1,0,1,1
14207,0,1,0,1,1
14208,1,0,1,0,1
14209,1,0,1,0,1
14210,1,0,1,0,1
14211,1,0,1,0,1
14212,1,0,1,0,1
14213,1,0,1,0,1
14214,0,1,0,1,1
14215,1,0,1,0,1
14216,0,1,0,1,1
14217,0,1,0,1,1
14218,0,1,0,1,1
14219,1,0,1,0,1
14220,1,0,1,0,1
14221,1,0,1,0,1
14222,1,0,1,0,1
14223,1,0,1,0,1
14224,1,0,1,0,1
14225,1,0,1,0,1
14226,1,0,1,0,1
14227,1,0,1,0,1
14228,1,0,1,0,1
14229,1,0,1,0,1
14230,1,0,1,0,1
14231,1,0,1,0,1
14232,1,0,1,0,1
14233,1,0,1,0,1
14234,1,0,1,0,1
14235,0,1,0,1,1
14236,0,1,0,1,1
14237,1,0,1,0,1
14238,0,1,0,1,1
14441,1,0,1,0,1
14442,1,0,1,0,1
14443,0,1,0,1,1
14444,0,1,0,1,1
14445,0,1,0,1,1
14446,0,1,0,1,1
14447,0,1,0,1,1
14448,0,1,0,1,1
14449,1,0,1,0,1
14450,0,1,0,1,1
14451,1,0,1,0,1
14452,1,0,1,0,1
14453,1,0,1,0,1
14454,1,0,1,0,1
